Region,week,sgtf,n,percent,conf_low,conf_high
North West,13/4/2021,Cases with confirmed S-gene,49,4.6,3.47,6.1
North West,13/4/2021,Cases with confirmed SGTF,1013,95.4,93.9,96.53
North West,20/4/2021,Cases with confirmed S-gene,102,9.7,8.02,11.7
North West,20/4/2021,Cases with confirmed SGTF,949,90.3,88.3,91.98
North West,27/4/2021,Cases with confirmed S-gene,322,27.8,25.24,30.48
North West,27/4/2021,Cases with confirmed SGTF,837,72.2,69.52,74.76
North West,4/5/2021,Cases with confirmed S-gene,1053,53.8,51.54,56
North West,4/5/2021,Cases with confirmed SGTF,905,46.2,44,48.46
North West,11/5/2021,Cases with confirmed S-gene,1695,71.4,69.5,73.17
North West,11/5/2021,Cases with confirmed SGTF,680,28.6,26.83,30.5
North West,18/5/2021,Cases with confirmed S-gene,2285,83.9,82.44,85.23
North West,18/5/2021,Cases with confirmed SGTF,439,16.1,14.77,17.56
South East,2/3/2021,Cases with confirmed S-gene,24,1.9,1.22,2.79
South East,2/3/2021,Cases with confirmed SGTF,1272,98.1,97.21,98.78
South East,9/3/2021,Cases with confirmed S-gene,16,1.3,0.77,2.15
South East,9/3/2021,Cases with confirmed SGTF,1218,98.7,97.85,99.23
South East,16/3/2021,Cases with confirmed S-gene,13,1.2,0.65,2.03
South East,16/3/2021,Cases with confirmed SGTF,1106,98.8,97.97,99.35
South East,23/3/2021,Cases with confirmed S-gene,6,0.9,0.36,2.01
South East,23/3/2021,Cases with confirmed SGTF,675,99.1,97.99,99.64
South East,30/3/2021,Cases with confirmed S-gene,16,3.5,2.06,5.68
South East,30/3/2021,Cases with confirmed SGTF,446,96.5,94.32,97.94
South East,6/4/2021,Cases with confirmed S-gene,26,5.2,3.51,7.67
South East,6/4/2021,Cases with confirmed SGTF,471,94.8,92.33,96.49
South East,13/4/2021,Cases with confirmed S-gene,51,12.6,9.58,16.28
South East,13/4/2021,Cases with confirmed SGTF,355,87.4,83.72,90.42
South East,20/4/2021,Cases with confirmed S-gene,34,15.7,11.29,21.45
South East,20/4/2021,Cases with confirmed SGTF,182,84.3,78.55,88.71
South East,27/4/2021,Cases with confirmed S-gene,41,19.5,14.52,25.67
South East,27/4/2021,Cases with confirmed SGTF,169,80.5,74.33,85.48
South East,4/5/2021,Cases with confirmed S-gene,80,30.2,24.8,36.16
South East,4/5/2021,Cases with confirmed SGTF,185,69.8,63.84,75.2
South East,11/5/2021,Cases with confirmed S-gene,131,51.6,45.26,57.84
South East,11/5/2021,Cases with confirmed SGTF,123,48.4,42.16,54.74
South East,18/5/2021,Cases with confirmed S-gene,221,72.2,66.78,77.09
South East,18/5/2021,Cases with confirmed SGTF,85,27.8,22.91,33.22
South West,2/3/2021,Cases with confirmed S-gene,4,0.9,0.29,2.42
South West,2/3/2021,Cases with confirmed SGTF,446,99.1,97.58,99.71
South West,9/3/2021,Cases with confirmed S-gene,4,1.4,0.44,3.67
South West,9/3/2021,Cases with confirmed SGTF,291,98.6,96.33,99.56
South West,16/3/2021,Cases with confirmed S-gene,4,2,0.65,5.4
South West,16/3/2021,Cases with confirmed SGTF,195,98,94.6,99.35
South West,23/3/2021,Cases with confirmed S-gene,2,1,0.18,4.05
South West,23/3/2021,Cases with confirmed SGTF,193,99,95.95,99.82
South West,30/3/2021,Cases with confirmed S-gene,8,5.2,2.42,10.26
South West,30/3/2021,Cases with confirmed SGTF,147,94.8,89.74,97.58
South West,6/4/2021,Cases with confirmed S-gene,7,5.7,2.54,11.89
South West,6/4/2021,Cases with confirmed SGTF,115,94.3,88.11,97.46
South West,13/4/2021,Cases with confirmed S-gene,3,5,1.3,14.82
South West,13/4/2021,Cases with confirmed SGTF,57,95,85.18,98.7
South West,20/4/2021,Cases with confirmed S-gene,15,32.6,19.97,48.13
South West,20/4/2021,Cases with confirmed SGTF,31,67.4,51.87,80.03
South West,27/4/2021,Cases with confirmed S-gene,9,37.5,19.55,59.24
South West,27/4/2021,Cases with confirmed SGTF,15,62.5,40.76,80.45
South West,4/5/2021,Cases with confirmed S-gene,14,58.3,36.94,77.2
South West,4/5/2021,Cases with confirmed SGTF,10,41.7,22.8,63.06
South West,11/5/2021,Cases with confirmed S-gene,23,88.5,68.72,96.97
South West,11/5/2021,Cases with confirmed SGTF,3,11.5,3.03,31.28
South West,18/5/2021,Cases with confirmed S-gene,6,50,25.38,74.62
South West,18/5/2021,Cases with confirmed SGTF,6,50,25.38,74.62
West Midlands,2/3/2021,Cases with confirmed S-gene,26,2,1.35,2.98
West Midlands,2/3/2021,Cases with confirmed SGTF,1266,98,97.02,98.65
West Midlands,9/3/2021,Cases with confirmed S-gene,29,1.3,0.91,1.94
West Midlands,9/3/2021,Cases with confirmed SGTF,2141,98.7,98.06,99.09
West Midlands,16/3/2021,Cases with confirmed S-gene,30,1.4,0.96,2.02
West Midlands,16/3/2021,Cases with confirmed SGTF,2116,98.6,97.98,99.04
West Midlands,23/3/2021,Cases with confirmed S-gene,27,1.7,1.12,2.45
West Midlands,23/3/2021,Cases with confirmed SGTF,1596,98.3,97.55,98.88
West Midlands,30/3/2021,Cases with confirmed S-gene,23,1.9,1.23,2.87
West Midlands,30/3/2021,Cases with confirmed SGTF,1195,98.1,97.13,98.77
West Midlands,6/4/2021,Cases with confirmed S-gene,18,2,1.25,3.28
West Midlands,6/4/2021,Cases with confirmed SGTF,861,98,96.72,98.75
West Midlands,13/4/2021,Cases with confirmed S-gene,21,2.8,1.77,4.28
West Midlands,13/4/2021,Cases with confirmed SGTF,737,97.2,95.72,98.23
West Midlands,20/4/2021,Cases with confirmed S-gene,56,9.4,7.27,12.16
West Midlands,20/4/2021,Cases with confirmed SGTF,537,90.6,87.84,92.73
West Midlands,27/4/2021,Cases with confirmed S-gene,53,10.9,8.31,14.05
West Midlands,27/4/2021,Cases with confirmed SGTF,435,89.1,85.95,91.69
West Midlands,4/5/2021,Cases with confirmed S-gene,87,15.9,12.97,19.27
West Midlands,4/5/2021,Cases with confirmed SGTF,461,84.1,80.73,87.03
West Midlands,11/5/2021,Cases with confirmed S-gene,169,30.7,26.93,34.8
West Midlands,11/5/2021,Cases with confirmed SGTF,381,69.3,65.2,73.07
West Midlands,18/5/2021,Cases with confirmed S-gene,263,54.8,50.21,59.29
West Midlands,18/5/2021,Cases with confirmed SGTF,217,45.2,40.71,49.79
Yorkshire and Humber,2/3/2021,Cases with confirmed S-gene,38,0.9,0.67,1.3
Yorkshire and Humber,2/3/2021,Cases with confirmed SGTF,4015,99.1,98.7,99.33
Yorkshire and Humber,9/3/2021,Cases with confirmed S-gene,16,0.3,0.21,0.58
Yorkshire and Humber,9/3/2021,Cases with confirmed SGTF,4600,99.7,99.42,99.79
Yorkshire and Humber,16/3/2021,Cases with confirmed S-gene,19,0.4,0.24,0.63
Yorkshire and Humber,16/3/2021,Cases with confirmed SGTF,4790,99.6,99.37,99.76
Yorkshire and Humber,23/3/2021,Cases with confirmed S-gene,19,0.4,0.27,0.7
Yorkshire and Humber,23/3/2021,Cases with confirmed SGTF,4311,99.6,99.3,99.73
Yorkshire and Humber,30/3/2021,Cases with confirmed S-gene,16,0.5,0.31,0.88
Yorkshire and Humber,30/3/2021,Cases with confirmed SGTF,3010,99.5,99.12,99.69
Yorkshire and Humber,6/4/2021,Cases with confirmed S-gene,9,0.4,0.18,0.73
Yorkshire and Humber,6/4/2021,Cases with confirmed SGTF,2424,99.6,99.27,99.82
Yorkshire and Humber,13/4/2021,Cases with confirmed S-gene,17,1,0.58,1.58
Yorkshire and Humber,13/4/2021,Cases with confirmed SGTF,1739,99,98.42,99.42
Yorkshire and Humber,20/4/2021,Cases with confirmed S-gene,22,1.2,0.78,1.85
Yorkshire and Humber,20/4/2021,Cases with confirmed SGTF,1801,98.8,98.15,99.22
Yorkshire and Humber,27/4/2021,Cases with confirmed S-gene,26,3.7,2.5,5.49
Yorkshire and Humber,27/4/2021,Cases with confirmed SGTF,672,96.3,94.51,97.5
Yorkshire and Humber,4/5/2021,Cases with confirmed S-gene,29,7.5,5.16,10.7
Yorkshire and Humber,4/5/2021,Cases with confirmed SGTF,358,92.5,89.3,94.84
Yorkshire and Humber,11/5/2021,Cases with confirmed S-gene,29,16.4,11.42,22.85
Yorkshire and Humber,11/5/2021,Cases with confirmed SGTF,148,83.6,77.15,88.58
Yorkshire and Humber,18/5/2021,Cases with confirmed S-gene,29,26.9,18.99,36.39
Yorkshire and Humber,18/5/2021,Cases with confirmed SGTF,79,73.1,63.61,81.01
