Region,week,sgtf,n,percent,conf_low,conf_high
South East,2/3/2021,Cases with confirmed S-gene,24,1.9,1.2,2.8
South East,2/3/2021,Cases with confirmed SGTF,1272,98.1,97.2,98.8
South East,9/3/2021,Cases with confirmed S-gene,16,1.3,0.8,2.1
South East,9/3/2021,Cases with confirmed SGTF,1218,98.7,97.9,99.2
South East,16/3/2021,Cases with confirmed S-gene,13,1.2,0.6,2.0
South East,16/3/2021,Cases with confirmed SGTF,1106,98.8,98.0,99.4
South East,23/3/2021,Cases with confirmed S-gene,6,0.9,0.4,2.0
South East,23/3/2021,Cases with confirmed SGTF,675,99.1,98.0,99.6
South East,30/3/2021,Cases with confirmed S-gene,16,3.5,2.1,5.7
South East,30/3/2021,Cases with confirmed SGTF,446,96.5,94.3,97.9
South East,6/4/2021,Cases with confirmed S-gene,26,5.2,3.5,7.7
South East,6/4/2021,Cases with confirmed SGTF,471,94.8,92.3,96.5
South East,13/4/2021,Cases with confirmed S-gene,51,12.6,9.6,16.3
South East,13/4/2021,Cases with confirmed SGTF,355,87.4,83.7,90.4
South East,20/4/2021,Cases with confirmed S-gene,34,15.7,11.3,21.4
South East,20/4/2021,Cases with confirmed SGTF,182,84.3,78.6,88.7
South East,27/4/2021,Cases with confirmed S-gene,40,19.1,14.2,25.3
South East,27/4/2021,Cases with confirmed SGTF,169,80.9,74.7,85.8
South East,4/5/2021,Cases with confirmed S-gene,80,30.3,24.9,36.3
South East,4/5/2021,Cases with confirmed SGTF,184,69.7,63.7,75.1
South East,11/5/2021,Cases with confirmed S-gene,102,50.2,43.2,57.3
South East,11/5/2021,Cases with confirmed SGTF,101,49.8,42.7,56.8
South West,2/3/2021,Cases with confirmed S-gene,4,0.9,0.3,2.4
South West,2/3/2021,Cases with confirmed SGTF,446,99.1,97.6,99.7
South West,9/3/2021,Cases with confirmed S-gene,4,1.4,0.4,3.7
South West,9/3/2021,Cases with confirmed SGTF,291,98.6,96.3,99.6
South West,16/3/2021,Cases with confirmed S-gene,4,2,0.6,5.4
South West,16/3/2021,Cases with confirmed SGTF,195,98,94.6,99.4
South West,23/3/2021,Cases with confirmed S-gene,2,1,0.2,4.0
South West,23/3/2021,Cases with confirmed SGTF,193,99,96.0,99.8
South West,30/3/2021,Cases with confirmed S-gene,8,5.2,2.4,10.3
South West,30/3/2021,Cases with confirmed SGTF,147,94.8,89.7,97.6
South West,6/4/2021,Cases with confirmed S-gene,7,5.7,2.5,11.9
South West,6/4/2021,Cases with confirmed SGTF,115,94.3,88.1,97.5
South West,13/4/2021,Cases with confirmed S-gene,3,5,1.3,14.8
South West,13/4/2021,Cases with confirmed SGTF,57,95,85.2,98.7
South West,20/4/2021,Cases with confirmed S-gene,15,32.6,20.0,48.1
South West,20/4/2021,Cases with confirmed SGTF,31,67.4,51.9,80.0
South West,27/4/2021,Cases with confirmed S-gene,9,37.5,19.6,59.2
South West,27/4/2021,Cases with confirmed SGTF,15,62.5,40.8,80.4
South West,4/5/2021,Cases with confirmed S-gene,15,60,38.9,78.2
South West,4/5/2021,Cases with confirmed SGTF,10,40,21.8,61.1
South West,11/5/2021,Cases with confirmed S-gene,19,90.5,68.2,98.3
South West,11/5/2021,Cases with confirmed SGTF,2,9.5,1.7,31.8
West Midlands,2/3/2021,Cases with confirmed S-gene,26,2,1.3,3.0
West Midlands,2/3/2021,Cases with confirmed SGTF,1266,98,97.0,98.7
West Midlands,9/3/2021,Cases with confirmed S-gene,29,1.3,0.9,1.9
West Midlands,9/3/2021,Cases with confirmed SGTF,2141,98.7,98.1,99.1
West Midlands,16/3/2021,Cases with confirmed S-gene,30,1.4,1.0,2.0
West Midlands,16/3/2021,Cases with confirmed SGTF,2116,98.6,98.0,99.0
West Midlands,23/3/2021,Cases with confirmed S-gene,27,1.7,1.1,2.4
West Midlands,23/3/2021,Cases with confirmed SGTF,1596,98.3,97.6,98.9
West Midlands,30/3/2021,Cases with confirmed S-gene,23,1.9,1.2,2.9
West Midlands,30/3/2021,Cases with confirmed SGTF,1195,98.1,97.1,98.8
West Midlands,6/4/2021,Cases with confirmed S-gene,18,2,1.3,3.3
West Midlands,6/4/2021,Cases with confirmed SGTF,861,98,96.7,98.7
West Midlands,13/4/2021,Cases with confirmed S-gene,21,2.8,1.8,4.3
West Midlands,13/4/2021,Cases with confirmed SGTF,737,97.2,95.7,98.2
West Midlands,20/4/2021,Cases with confirmed S-gene,56,9.4,7.3,12.2
West Midlands,20/4/2021,Cases with confirmed SGTF,537,90.6,87.8,92.7
West Midlands,27/4/2021,Cases with confirmed S-gene,53,10.9,8.3,14.0
West Midlands,27/4/2021,Cases with confirmed SGTF,435,89.1,86.0,91.7
West Midlands,4/5/2021,Cases with confirmed S-gene,87,15.9,13.0,19.3
West Midlands,4/5/2021,Cases with confirmed SGTF,461,84.1,80.7,87.0
West Midlands,11/5/2021,Cases with confirmed S-gene,121,28,23.9,32.5
West Midlands,11/5/2021,Cases with confirmed SGTF,311,72,67.5,76.1
Yorkshire and Humber,2/3/2021,Cases with confirmed S-gene,38,0.9,0.7,1.3
Yorkshire and Humber,2/3/2021,Cases with confirmed SGTF,4015,99.1,98.7,99.3
Yorkshire and Humber,9/3/2021,Cases with confirmed S-gene,16,0.3,0.2,0.6
Yorkshire and Humber,9/3/2021,Cases with confirmed SGTF,4600,99.7,99.4,99.8
Yorkshire and Humber,16/3/2021,Cases with confirmed S-gene,19,0.4,0.2,0.6
Yorkshire and Humber,16/3/2021,Cases with confirmed SGTF,4790,99.6,99.4,99.8
Yorkshire and Humber,23/3/2021,Cases with confirmed S-gene,19,0.4,0.3,0.7
Yorkshire and Humber,23/3/2021,Cases with confirmed SGTF,4311,99.6,99.3,99.7
Yorkshire and Humber,30/3/2021,Cases with confirmed S-gene,16,0.5,0.3,0.9
Yorkshire and Humber,30/3/2021,Cases with confirmed SGTF,3010,99.5,99.1,99.7
Yorkshire and Humber,6/4/2021,Cases with confirmed S-gene,9,0.4,0.2,0.7
Yorkshire and Humber,6/4/2021,Cases with confirmed SGTF,2424,99.6,99.3,99.8
Yorkshire and Humber,13/4/2021,Cases with confirmed S-gene,17,1,0.6,1.6
Yorkshire and Humber,13/4/2021,Cases with confirmed SGTF,1739,99,98.4,99.4
Yorkshire and Humber,20/4/2021,Cases with confirmed S-gene,22,1.2,0.8,1.9
Yorkshire and Humber,20/4/2021,Cases with confirmed SGTF,1801,98.8,98.1,99.2
Yorkshire and Humber,27/4/2021,Cases with confirmed S-gene,27,3.9,2.6,5.6
Yorkshire and Humber,27/4/2021,Cases with confirmed SGTF,672,96.1,94.4,97.4
Yorkshire and Humber,4/5/2021,Cases with confirmed S-gene,31,8,5.6,11.2
Yorkshire and Humber,4/5/2021,Cases with confirmed SGTF,358,92,88.8,94.4
Yorkshire and Humber,11/5/2021,Cases with confirmed S-gene,25,17.2,11.7,24.6
Yorkshire and Humber,11/5/2021,Cases with confirmed SGTF,120,82.8,75.4,88.3
