LTLA Code,D1.0-45,D1.45-50,D1.50-55,D1.55-60,D1.60-65,D1.65-70,D1.70-75,D1.75-80,D1.80-150,D2.0-45,D2.45-50,D2.50-55,D2.55-60,D2.60-65,D2.65-70,D2.70-75,D2.75-80,D2.80-150
E07000067,14414,8332,10838,10235,8756,7956,8608,6139,7641,4432,1424,1887,1982,1985,4360,7237,5712,7027
E07000068,6740,4222,5207,5358,4329,3626,3861,2890,4685,1654,556,723,976,928,1527,3567,2798,4485
E07000069,9362,4540,5932,6054,5488,5087,6269,4767,5900,2278,762,966,1227,1215,2468,5353,4438,5583
E07000070,18250,10100,11988,11464,9767,8489,9372,6874,9502,5860,1687,2089,2386,2616,3975,8536,6570,9078
E07000071,20474,9120,11924,11325,9429,8287,9417,6812,8828,7778,2009,2372,2422,2216,5013,7439,6266,8137
E07000072,12323,6722,8900,9034,7565,6396,6766,5031,7124,3099,1149,1450,1710,1687,3307,5902,4706,6467
E07000073,10637,4423,5366,5380,4566,3778,3290,2353,3603,3134,898,1017,1193,1043,1855,3006,2212,3330
E07000074,5299,3418,4929,5000,4636,4089,4570,3382,4141,1432,481,710,758,826,2625,4212,3255,4009
E07000075,8835,4870,6254,6122,5313,4625,5426,4065,5455,2553,889,1149,1298,1346,2551,4695,3883,5186
E07000076,13043,5980,9329,10363,10217,9950,11752,9034,11798,4261,1262,1831,2178,2314,5666,9201,7847,10706
E07000077,8277,5401,6622,6455,5501,4673,4881,3632,4849,2522,796,1124,1246,1183,2049,4550,3496,4573
E07000078,10862,5876,7352,7691,6442,5469,5681,4402,6883,4440,1206,1465,1678,1509,4415,5119,4264,6647
E07000079,6317,4550,6384,7019,6276,5842,6152,4759,6399,1942,638,832,1056,1552,3372,5579,4508,6006
E07000080,6131,4021,5579,6163,5522,5072,5325,3948,4861,2239,634,846,1019,929,1843,4207,3669,4549
E07000081,15025,6694,8362,8347,7108,5700,5581,4369,5804,5334,1468,1820,2118,2345,4647,5037,4168,5561
E07000082,9851,7251,8824,8862,8122,7145,7568,5481,7342,3147,983,1278,1388,1471,3770,6941,5312,7179
E07000083,9109,4926,6361,6723,5788,5365,5585,4290,5715,3317,926,1216,1371,1511,4312,5188,4177,5532
E07000084,17114,9837,12725,12284,9933,8207,8733,6211,7909,5618,1522,1691,1696,1626,4390,7991,5901,7608
E07000085,11904,7296,9014,9394,8414,7060,7569,5764,7918,3496,1102,1357,1579,1362,3722,6892,5551,7622
E07000086,15016,7498,8881,8908,7769,6760,6913,5043,7233,4854,1275,1489,1585,1498,1931,5971,4500,6737
E07000087,12558,6373,7950,8553,7605,6403,7215,5656,8003,3814,1182,1785,1955,1919,4207,6597,5355,7751
E07000088,9192,4014,5338,5616,5096,4391,4717,3381,4625,2799,896,1184,1271,1427,2729,4253,3200,4472
E07000089,9477,6595,7085,6954,5571,4590,5138,4063,5459,2433,763,947,1055,1050,1666,4754,3863,5309
E07000090,15072,6324,8307,8879,8334,7238,7718,5933,8515,4178,1167,1607,1829,1900,4713,7190,5668,7957
E07000091,16178,8554,11860,13355,12295,11810,13220,10238,15168,5551,1693,2129,2584,2495,3934,11446,9797,14412
E07000092,11852,5541,6462,6323,4810,3918,4083,2970,3695,4160,1013,1126,1222,940,2163,3484,2766,3536
E07000093,12869,7115,9028,9169,7815,6621,7375,5553,7311,3720,1081,1237,1455,1263,2263,6722,5295,6840
E07000094,13460,7355,8426,8567,7383,6336,6775,5224,7647,4327,1192,1286,1325,1199,3411,5935,4977,7370
E07000095,9352,5018,6411,6164,5127,4129,4374,3332,4923,2229,752,894,1006,1034,1841,4020,3177,4668
E07000096,16442,8839,10055,10099,8558,7048,6827,4930,7389,4724,1523,1842,2165,2057,3936,6012,4613,6772
E07000098,14282,6170,6791,6925,5678,4642,4796,3618,5536,3638,1222,1556,1916,1971,3905,4543,3482,5287
E07000099,13242,8117,8921,8942,7331,6288,6595,4909,7408,3836,1184,1431,1521,1405,2752,5949,4711,6991
E07000102,10715,5840,6568,6452,5134,4226,4351,3206,4756,3128,1013,1239,1614,1670,3413,4119,3082,4561
E07000103,13690,5682,6028,5327,4232,3356,3110,2345,3453,3908,1055,1244,1269,1223,2677,2907,2210,3163
E07000105,11868,5643,9116,8600,7189,6400,7088,5305,6525,5109,1538,1901,2214,1961,2089,6225,5014,6241
E07000106,14910,6748,9227,9581,8695,8295,9156,6746,9096,5608,1495,1881,2123,2045,2652,7672,6332,8750
E07000107,12053,5692,6768,6414,5226,4124,4091,2887,4336,4181,1342,1576,1778,1904,2636,3621,2738,4038
E07000108,11039,4910,7277,8050,7486,7066,7338,5488,6864,4092,1254,1619,2021,2151,3771,6424,5016,6032
E07000109,10518,5099,6670,6584,5421,4653,4732,3504,4990,3553,1079,1476,2023,1774,2778,4262,3258,4620
E07000110,15944,7818,11357,10973,9406,8213,8990,6506,8725,5531,1691,1930,2127,2195,5075,7925,6152,8204
E07000111,9707,6217,8165,8098,6973,6152,6723,5094,7189,2800,929,1225,1449,1670,2941,5808,4801,6745
E07000112,10458,5070,7232,7706,7068,6574,7503,5400,6953,3663,1202,1541,1855,2016,3328,6810,5073,6476
E07000113,14488,6519,9655,9944,8508,7384,8111,5683,6780,4445,1271,1488,1711,1509,3166,6717,5334,6240
E07000114,13919,5929,8490,9083,8358,8014,8947,6585,8387,5849,1869,2564,2812,3050,4154,7772,6134,7873
E07000115,11820,7379,9099,8813,7360,6066,6698,5049,6825,3394,1093,1238,1365,1172,2770,5936,4812,6616
E07000116,9347,6304,8196,7561,6429,5273,5774,4422,6378,3002,1049,1229,1317,1646,3384,4926,4170,6055
E07000117,8239,3707,5265,5570,5031,4346,4592,3147,3747,2714,831,1180,1536,1598,2428,4205,2967,3494
E07000118,13004,6155,8151,7985,6935,6149,6728,4803,5625,4056,1187,1524,1770,1669,3498,6278,4623,5354
E07000119,8684,3950,5536,6155,5922,5274,5830,4571,6226,2567,815,1141,1657,1934,2647,5561,4427,6002
E07000120,7043,2962,4995,4979,4418,3787,4036,2907,3499,2171,731,1082,1223,1564,2206,3483,2717,3251
E07000121,20102,6597,8808,9231,8467,7528,7807,5647,7679,6029,1658,2553,2886,2648,3654,7403,5493,7450
E07000122,7474,3495,5296,5439,5041,4445,4710,3159,4019,2043,589,796,1014,913,1601,4028,2922,3599
E07000123,22488,7336,8413,8359,7170,5814,5492,3890,5643,5934,1501,1817,2062,2578,4095,4806,3653,5207
E07000124,5699,2924,4619,4790,4383,3704,3962,2968,3872,1762,598,874,901,1031,2126,3803,2910,3721
E07000125,6826,3179,4835,4827,4122,3645,3781,2514,2991,2197,739,990,1077,971,1558,3545,2395,2856
E07000126,13427,6273,7708,7892,6759,6134,6589,4638,5992,3702,1130,1260,1478,1384,2277,6077,4435,5654
E07000127,12693,5780,7670,8286,7279,6368,6870,5146,6513,4374,1432,1967,2393,2942,4449,6360,4926,6022
E07000128,13631,5175,7287,8170,7895,7376,8177,6152,8337,4764,1522,2114,2931,3438,5032,7524,5909,7969
E07000129,13048,5521,6827,6691,6038,5171,5614,4164,5547,3867,1272,1608,1816,1737,3717,5270,4023,5370
E07000130,20831,9172,11344,10971,10030,9011,9109,6746,8774,5478,1440,1853,1859,1682,3807,8118,6387,8151
E07000131,8953,5379,7055,6970,5955,5331,5693,4278,5451,2761,914,1203,1693,1498,3393,5269,4059,5190
E07000132,11530,5737,7921,7738,7015,6465,7019,5109,6257,3617,1049,1299,1472,1351,2897,5865,4885,5950
E07000133,4341,2611,3819,4074,3474,3174,3364,2410,2987,1288,396,547,547,592,1537,3102,2333,2745
E07000134,10510,6068,7467,7114,6127,5525,5909,4268,4846,2535,851,1039,1058,981,2487,4904,3984,4524
E07000135,7714,2897,3516,3613,3345,2827,2965,2327,3770,2344,692,830,980,973,1824,2699,2208,3361
E07000136,6785,3282,4018,4293,3908,3575,3711,2792,3800,2347,676,982,1019,931,1781,3389,2620,3630
E07000137,13478,6710,9397,10886,10894,10772,11932,8998,10442,3438,1143,1647,1844,1931,3484,9213,8132,9716
E07000138,11666,4343,5292,5535,4619,3961,3886,2762,3971,3956,841,1037,1165,1016,1756,3256,2583,3770
E07000139,12933,6703,8263,8637,7323,6484,7426,5749,7276,4118,1150,1546,1616,1335,2513,6621,5498,7042
E07000140,8367,4741,6080,6531,5681,5407,6062,4466,6129,2043,672,801,1004,848,1707,5327,4074,5745
E07000141,14548,8327,10045,10385,9241,8293,8928,6752,8355,3638,1163,1479,1670,1466,3109,7968,6392,7919
E07000142,9755,4923,6624,7188,6615,6138,6555,4960,5762,2863,849,1158,1343,1277,2284,5555,4714,5536
E07000143,12869,6651,9215,9871,8815,8431,9434,7076,9232,4896,1468,1947,2212,2541,4788,8052,6563,8834
E07000144,11885,6785,9384,9393,8390,7937,9057,6786,9572,5284,1557,1936,1993,2069,3424,8413,6570,9265
E07000145,10507,4635,6425,6790,6320,5949,6467,4876,6002,4151,1135,1484,1562,1507,3354,5714,4565,5763
E07000146,13359,6935,9637,10590,9816,9345,10402,8051,10678,5342,1583,2064,2413,2621,5712,9445,7540,10204
E07000147,7287,3621,6515,7564,8061,8002,9233,6896,9434,2867,882,1128,1375,1367,2632,8024,6598,9132
E07000148,18234,6527,7516,7128,6039,5607,5501,3983,5771,7889,1500,1576,1566,1333,3144,5026,3838,5614
E07000149,13935,7478,9579,9955,8904,8191,9268,7020,9294,5905,1630,1857,1893,1685,2399,8279,6577,8934
E07000150,6299,2922,4325,4480,3817,3100,2706,1968,2346,1663,447,627,700,628,1379,1891,1821,2173
E07000151,7866,4763,6387,6491,5376,4771,5053,3578,4204,2096,699,910,1158,974,3101,4758,3466,4054
E07000152,7014,4777,6721,6603,5476,5050,5547,3888,4742,2267,780,1037,1211,1265,2734,5066,3687,4386
E07000153,10212,5344,6920,6509,5345,4894,5233,3849,4633,3759,1168,1576,1781,1358,2147,4674,3623,4317
E07000154,22334,11761,13479,12991,10794,9232,9414,6508,8740,6779,2045,2268,2495,2521,5017,8706,6137,8179
E07000155,8119,5811,7322,7203,6057,5073,5587,3975,4656,2092,658,886,1003,885,1931,4944,3824,4469
E07000156,6552,4118,5350,5119,4372,4066,4267,3075,3664,1846,593,825,1037,1037,2091,3857,2881,3405
E07000163,5976,2921,4175,4421,4311,3984,4090,3125,4064,1931,636,895,1087,1341,2623,3766,3002,3917
E07000164,7438,4650,6490,7394,6623,6091,6576,4851,6554,2788,977,1255,1807,1745,2710,5973,4684,6298
E07000165,17191,9482,11896,12291,10770,9248,10040,7318,10667,4830,1583,1961,2240,2030,4275,9346,6985,10179
E07000166,4693,2456,3412,3628,3474,3056,3182,2241,2891,1295,325,458,533,518,1225,2841,2144,2534
E07000167,4736,2851,3839,4379,4000,3814,4018,2979,3974,1244,405,520,671,577,1174,3552,2801,3852
E07000168,10987,5336,7061,8231,7970,7494,8023,5788,7623,4061,1223,1628,2033,2807,3584,7610,5616,7258
E07000169,8290,5027,6562,6870,6027,5095,5334,3654,4371,2532,780,1000,1377,1061,2266,4932,3547,4116
E07000170,14499,6658,8647,8626,7208,6372,6482,5175,6065,4390,1252,1551,1556,1197,2447,5378,4782,5592
E07000171,13607,6313,8311,8716,7492,6604,7125,5258,6417,4818,1512,2773,3157,3307,3983,6489,4847,6039
E07000172,11696,5625,7346,7400,6546,5873,6635,4829,6402,3776,925,1141,1175,944,2652,6223,4557,6001
E07000173,12589,6264,8084,8122,7002,6378,6763,4822,6681,3969,1205,1411,1492,1238,2551,6259,4565,6247
E07000174,12989,5376,7147,7546,6627,5724,5566,4230,5147,3915,1019,1390,1511,1276,2963,4061,3889,4631
E07000175,12075,6434,8457,8789,7801,6966,7508,5551,6885,3426,1140,1431,1554,1271,2226,6594,5210,6346
E07000176,13053,6893,8207,8099,7010,6261,6724,5033,7014,3938,1072,1259,1226,1012,2584,6357,4839,6636
E07000177,16362,8572,10675,10591,8660,7311,7427,5295,7428,4580,1257,1464,1577,1356,2463,6560,5061,7112
E07000178,18980,7093,7737,7413,6055,4865,4635,3426,5054,7799,1367,1417,1479,1348,1954,4150,3171,4640
E07000179,12652,8694,10735,10368,8659,7362,7728,6250,8536,3723,1134,1398,1488,1450,2740,7025,6050,8200
E07000180,12304,7935,9137,9185,8027,6773,7131,5359,7639,3639,996,1210,1380,1403,3384,6605,5192,7332
E07000181,9731,5774,7833,8074,6927,5985,6347,4928,6884,3018,853,1027,1217,1255,3152,5855,4754,6708
E07000187,10630,5771,8148,8252,7411,6864,7351,5354,7192,4116,1415,1921,2232,2545,3512,7028,5199,6970
E07000188,9958,5657,8575,9041,7876,7334,8070,5926,7738,4069,1204,1761,2132,2443,3218,7258,5650,7265
E07000189,15586,7832,11308,12074,11115,10618,11825,8802,11493,5966,1749,2256,2644,2627,5792,11055,8494,10998
E07000192,12277,5702,7271,7111,5873,5136,5220,3950,4716,2994,864,1083,1093,958,3226,4785,3784,4502
E07000193,12245,6469,8068,8010,7179,5936,6056,4602,5887,3812,1277,1619,1870,2004,3859,5346,4350,5565
E07000194,10513,5557,7538,7419,6332,5936,6743,5672,6385,2784,954,1248,1405,1333,2627,5882,5396,6097
E07000195,13714,6266,8345,8281,7617,6639,7164,5253,7116,4745,1328,1634,1615,1560,3643,6696,4992,6834
E07000196,12356,5907,7902,8310,7608,6691,7181,5890,7385,3148,947,1293,1474,1446,3916,6660,5665,7098
E07000197,16053,7571,9544,9327,8485,7667,8169,6537,8195,4448,1345,1760,1776,1653,4659,7494,6200,7845
E07000198,8423,4954,7243,7173,6521,6133,6857,5165,6365,3002,1014,1399,1514,1421,3886,6457,5002,6141
E07000199,7778,3394,5369,4854,4417,4189,4127,2947,3271,2033,647,790,894,1167,2748,3748,2811,3058
E07000200,7643,4127,6473,6676,6003,5747,6611,5043,6427,2971,1010,1437,1613,1889,3605,6094,4825,6137
E07000202,16765,6629,8139,7855,6848,5958,5799,4106,6260,6470,1681,2055,2151,3043,4557,5329,3873,5917
E07000203,9507,4967,7172,7723,7052,6552,7111,5168,6590,3627,1145,1721,2006,2149,5036,6646,4921,6347
E07000207,12522,9222,9926,9135,7310,6017,6133,4639,7348,2851,1031,1363,1505,2158,3026,5477,4263,6880
E07000208,8392,4825,5398,5094,4098,3481,3845,2824,4044,2540,878,1003,1081,916,1930,3484,2609,3813
E07000209,13882,8251,9096,9069,7470,6272,6477,4745,7117,4705,1242,1479,1630,1652,3949,5561,4541,6825
E07000210,7527,4595,6379,6514,5667,4984,5024,4086,6113,2279,767,927,1182,1080,3512,4506,3847,5876
E07000211,15746,8453,9777,9638,7958,6524,6902,4980,7567,4987,1589,1701,1781,2119,4199,6055,4634,7126
E07000212,7805,4828,5409,5447,4485,3662,3731,2896,4470,2217,750,1251,1519,2320,2865,3285,2710,4140
E07000213,9424,5522,6676,6893,5410,4385,4526,3565,5465,2429,771,1106,1371,2217,3339,4144,3356,5064
E07000214,9788,5749,6528,6403,5270,4322,4485,3525,5129,3202,1045,1235,1457,2316,3283,4202,3430,4928
E07000215,7865,5206,6186,6135,5236,4486,4615,3598,5144,2868,882,1156,1525,1625,2622,4075,3316,4886
E07000216,11293,8231,9139,8628,7454,6384,6932,5612,8539,3006,995,1291,1405,1434,4461,6097,5372,8155
E07000217,10061,6053,6589,6286,5193,4326,4311,3153,4860,2869,834,1203,1289,1439,3002,3664,2911,4419
E07000218,6668,3625,4785,4749,4244,3658,3881,2909,3526,1926,627,881,1202,1341,2005,3648,2763,3132
E07000219,14020,6603,8609,8417,7271,6599,6796,5182,6189,4619,1281,1542,1638,1460,3256,5936,4788,5766
E07000220,9523,5658,7252,7089,5859,4936,5261,4378,5581,3429,1183,1386,1820,2059,4047,4888,4162,5310
E07000221,11298,7554,9748,10110,9024,8084,8805,7122,9236,3289,1144,1528,1773,1926,6488,8391,6861,8836
E07000222,16353,8423,9361,8987,7648,6824,7087,5617,7757,5159,1469,1853,2185,2287,5309,6643,5356,7172
E07000223,6617,3825,4324,4257,3746,3439,3938,3014,4358,2443,887,1016,1050,1005,1635,3752,2915,4227
E07000224,12561,6916,10203,10913,10284,10188,12205,9461,13395,5597,1802,2185,2530,2571,2736,10101,8844,12635
E07000225,10330,5902,7784,8765,8429,7728,8527,6818,9697,4184,1318,1731,2119,2518,3561,7383,6292,9181
E07000226,14674,6410,6858,6539,5622,4392,4028,2572,4037,3566,1012,1154,1196,1104,2787,3753,2437,3822
E07000227,14055,8135,10318,10758,9351,8110,8710,6595,9293,4687,1477,2000,2396,2374,4979,8192,6373,8875
E07000228,13467,9013,10523,10043,8382,7553,7960,6264,8781,4842,1517,1721,1736,1509,2936,7354,6066,8470
E07000229,11948,5778,7438,7382,6257,5542,6357,4720,7390,5232,1701,2027,2189,2055,2594,5803,4417,6717
E07000234,11390,5859,7008,6980,6031,5528,5671,4558,6366,3391,1113,1313,1467,1411,3092,5272,4372,6120
E07000235,7281,4011,5513,6116,5746,5269,5863,4403,6085,2116,811,1381,1358,1485,3517,5388,4209,5856
E07000236,10201,4371,5233,5096,4752,4631,4582,3078,3379,2395,656,820,882,838,2207,4145,2909,3179
