LTLA Code,D*.0-45,D*.45-50,D*.50-55,D*.55-60,D*.60-65,D*.65-70,D*.70-75,D*.75-80,D*.80-150
E07000031,7327,3727,7248,8037,7607,6859,7725,5789,7863
E07000032,13162,7346,9252,9222,8087,7293,7971,5792,6798
E07000033,8322,3917,5847,5660,4968,4214,4250,3413,3819
E07000034,12456,5675,7024,7369,6592,5812,5876,4389,5650
E07000035,5041,3031,5495,5970,5383,4927,5425,4089,5167
E07000036,10669,5132,8088,7939,6705,5891,6268,4737,6085
E07000037,9287,4515,6787,7202,6331,5354,5471,3916,4673
E07000038,10529,5307,7207,7362,6809,6235,6706,5378,6420
E07000039,13155,5573,7951,7364,6114,5546,5515,3945,4614
E07000040,10455,4908,9574,10178,9785,9931,11563,9190,13212
E07000041,13510,4218,7150,6903,5940,5288,5511,4130,6201
E07000042,6215,2802,5712,5981,5294,4999,5280,3954,5156
E07000043,7088,3007,6680,7287,6816,6102,6752,5217,6817
E07000044,5785,3215,5869,6728,6580,6149,6706,4909,6294
E07000045,10674,4757,9177,10210,9380,9011,9638,7358,9599
E07000046,4860,2040,4647,5123,5148,4854,5307,3882,4734
E07000047,3808,1821,3839,4480,4183,3961,4305,3264,4181
E07000061,11162,4524,6201,6545,5926,5434,6238,4705,7397
E07000062,7860,3145,5934,6182,5291,4824,4857,3364,4299
E07000063,8099,3782,6803,7022,6375,6121,6726,5122,7427
E07000064,6426,2718,5961,6887,6741,6535,8052,6120,8565
E07000065,11362,5296,10808,11703,10728,9835,11092,8638,11384
E07000066,19889,8543,11886,11514,9922,8009,8548,5999,8311
E07000067,13625,6729,10795,10199,8755,7941,8581,6138,7648
E07000068,5818,3037,5142,5342,4327,3618,3859,2893,4696
E07000069,8122,4039,5883,6032,5479,5075,6263,4765,5905
E07000070,15873,7728,11918,11397,9744,8467,9365,6877,9520
E07000071,19579,7452,11901,11287,9414,8279,9399,6799,8832
E07000072,10412,4779,8821,8999,7540,6385,6755,5035,7145
E07000073,9619,3293,5299,5338,4542,3749,3278,2352,3609
E07000074,4638,2827,4895,4990,4614,4090,4568,3380,4153
E07000075,7865,4161,6225,6106,5301,4614,5409,4057,5465
E07000076,12714,4815,9284,10304,10191,9927,11731,9027,11818
E07000077,7101,3310,6582,6422,5494,4657,4871,3628,4845
E07000078,10059,4080,7307,7664,6426,5461,5677,4399,6885
E07000079,6086,4123,6366,6991,6262,5802,6142,4758,6420
E07000080,5880,3765,5555,6144,5505,5070,5320,3948,4866
E07000081,14390,6306,8317,8325,7087,5685,5559,4367,5818
E07000082,8932,6790,8786,8847,8112,7143,7560,5477,7359
E07000083,8713,4044,6335,6710,5781,5359,5586,4289,5720
E07000084,16031,8688,12684,12260,9924,8181,8715,6204,7923
E07000085,10423,6407,8969,9368,8397,7037,7545,5767,7933
E07000086,13444,5647,8842,8876,7750,6752,6904,5040,7244
E07000087,11205,5569,7909,8518,7589,6385,7214,5647,8032
E07000088,8261,3120,5297,5597,5082,4381,4699,3380,4627
E07000089,8317,5737,7046,6948,5570,4585,5129,4054,5468
E07000090,14491,6117,8273,8858,8316,7228,7695,5933,8523
E07000091,14597,7115,11810,13303,12257,11781,13195,10232,15200
E07000092,9738,3680,6420,6293,4798,3910,4074,2972,3702
E07000093,10650,4386,8967,9133,7796,6606,7361,5552,7330
E07000094,11948,4938,8381,8535,7366,6323,6761,5217,7660
E07000095,8058,3587,6364,6131,5114,4125,4371,3328,4925
E07000096,13197,5494,9988,10056,8544,7025,6821,4921,7412
E07000098,13051,5632,6755,6890,5655,4613,4787,3616,5539
E07000099,10984,5655,8852,8916,7320,6287,6577,4911,7426
E07000102,9405,4063,6530,6440,5123,4222,4350,3202,4765
E07000103,12372,4753,5988,5300,4207,3350,3095,2340,3475
E07000105,11328,4331,9047,8546,7156,6382,7066,5305,6534
E07000106,13100,4116,9137,9504,8657,8270,9153,6739,9120
E07000107,10775,4307,6721,6385,5213,4111,4086,2889,4329
E07000108,10719,3767,7245,8012,7460,7050,7327,5483,6873
E07000109,9721,3800,6606,6551,5416,4641,4725,3504,4998
E07000110,14510,5930,11289,10924,9380,8180,8962,6509,8749
E07000111,8723,4590,8116,8071,6963,6151,6704,5088,7208
E07000112,10047,4369,7189,7670,7041,6551,7482,5387,6962
E07000113,13156,4777,9600,9913,8488,7381,8102,5681,6806
E07000114,12717,4311,8420,9025,8326,7994,8924,6576,8383
E07000115,10456,5592,9056,8780,7344,6056,6673,5041,6833
E07000116,8594,4364,8157,7543,6414,5240,5756,4408,6385
E07000117,7228,2684,5175,5533,5010,4326,4585,3148,3764
E07000118,11582,4857,8112,7950,6925,6136,6724,4793,5633
E07000119,7931,3379,5503,6131,5907,5253,5829,4571,6234
E07000120,6643,2442,4957,4953,4406,3776,4026,2906,3498
E07000121,17702,5181,8734,9180,8450,7510,7796,5641,7701
E07000122,6663,2438,5209,5394,4998,4414,4705,3155,4016
E07000123,19258,6726,8350,8319,7136,5801,5481,3893,5649
E07000124,4859,2357,4599,4765,4369,3701,3961,2968,3878
E07000125,6206,2484,4793,4798,4115,3644,3781,2517,3004
E07000126,12038,5325,7674,7860,6747,6118,6584,4643,6007
E07000127,11693,5223,7623,8241,7259,6352,6875,5146,6542
E07000128,12118,4479,7252,8142,7865,7359,8165,6155,8359
E07000129,11501,5232,6787,6661,6010,5160,5606,4166,5561
E07000130,19062,8615,11280,10926,10012,8989,9076,6742,8781
E07000131,8145,4704,7029,6948,5947,5311,5683,4280,5459
E07000132,10713,4662,7861,7715,6998,6460,7012,5110,6272
E07000133,4128,2458,3805,4066,3470,3168,3365,2413,2997
E07000134,9232,4941,7397,7069,6124,5508,5889,4262,4856
E07000135,6900,2672,3481,3576,3334,2815,2958,2327,3786
E07000136,6123,2567,3959,4261,3886,3561,3705,2788,3810
E07000137,12619,5920,9335,10832,10871,10747,11909,8989,10462
E07000138,10632,3286,5230,5498,4603,3958,3881,2757,3982
E07000139,12104,6060,8224,8597,7299,6467,7416,5750,7295
E07000140,7618,4153,6031,6495,5661,5396,6055,4463,6131
E07000141,13860,7523,10015,10360,9219,8271,8906,6745,8368
E07000142,8807,4118,6578,7146,6598,6125,6545,4960,5790
E07000143,10655,4745,9131,9831,8785,8411,9435,7071,9255
E07000144,11220,4542,9327,9366,8369,7918,9049,6787,9597
E07000145,9862,3842,6375,6764,6286,5911,6439,4870,6009
E07000146,12502,5183,9561,10550,9784,9319,10392,8054,10704
E07000147,6936,2839,6483,7535,8030,7984,9220,6888,9459
E07000148,17436,4766,7460,7087,6018,5589,5491,3989,5785
E07000149,12714,4792,9541,9924,8890,8183,9268,7013,9311
E07000150,5846,2406,4304,4460,3813,3101,2714,1967,2361
E07000151,7302,4077,6361,6480,5372,4766,5039,3577,4221
E07000152,6514,3702,6684,6585,5468,5046,5536,3883,4751
E07000153,9438,4547,6875,6493,5335,4894,5225,3845,4657
E07000154,21055,10451,13388,12945,10772,9202,9398,6518,8745
E07000155,7063,4258,7288,7166,6041,5065,5573,3980,4664
E07000156,6151,3662,5309,5099,4356,4057,4262,3077,3670
E07000163,5053,2212,4152,4398,4277,3970,4085,3124,4067
E07000164,6564,4416,6455,7377,6608,6073,6567,4860,6569
E07000165,14151,8932,11829,12247,10752,9225,10020,7303,10678
E07000166,3947,2007,3376,3610,3470,3054,3181,2239,2896
E07000167,4169,2571,3822,4357,3985,3806,4016,2983,3978
E07000168,10515,4708,7008,8184,7946,7478,8020,5783,7643
E07000169,6777,3669,6523,6841,6005,5089,5332,3657,4370
E07000170,13836,5847,8617,8611,7198,6367,6475,5166,6078
E07000171,12375,5762,8237,8658,7460,6595,7102,5248,6421
E07000172,10863,4781,7314,7382,6540,5865,6623,4827,6411
E07000173,11999,5650,8064,8106,6984,6372,6751,4820,6698
E07000174,12400,4372,7096,7513,6611,5711,5561,4229,5151
E07000175,11233,5526,8427,8759,7776,6949,7502,5549,6897
E07000176,12047,6297,8187,8095,7003,6251,6714,5036,7023
E07000177,13999,5880,10617,10553,8638,7298,7416,5296,7429
E07000178,17280,5558,7676,7361,6039,4855,4630,3426,5059
E07000179,10754,5440,10664,10332,8638,7347,7712,6249,8552
E07000180,9812,4722,9057,9131,8000,6764,7135,5362,7667
E07000181,8947,3942,7801,8055,6913,5979,6331,4926,6900
E07000187,8697,3769,8083,8204,7396,6859,7341,5348,7216
E07000188,9362,3389,8503,8983,7850,7326,8043,5930,7762
E07000189,14227,5800,11277,12018,11088,10591,11806,8801,11530
E07000192,10701,5391,7239,7083,5855,5130,5215,3946,4726
E07000193,11005,6092,8032,7980,7163,5921,6044,4604,5900
E07000194,9191,4860,7506,7392,6318,5922,6740,5669,6391
E07000195,12881,5493,8311,8247,7609,6635,7150,5254,7131
E07000196,11037,5456,7861,8287,7592,6668,7169,5888,7392
E07000197,14564,7096,9499,9295,8479,7632,8143,6540,8220
E07000198,7905,4329,7202,7141,6505,6109,6844,5149,6360
E07000199,7111,2817,5353,4838,4411,4186,4122,2950,3279
E07000200,7307,3070,6458,6650,5985,5734,6613,5044,6447
E07000202,15677,4959,8111,7831,6850,5939,5783,4103,6270
E07000203,8921,3524,7137,7707,7039,6528,7101,5162,6598
E07000207,9623,5449,9898,9104,7284,6000,6127,4631,7367
E07000208,6877,3507,5377,5061,4085,3475,3843,2824,4054
E07000209,11495,6200,9059,9041,7455,6263,6470,4752,7134
E07000210,6107,3305,6360,6504,5667,4977,5018,4081,6115
E07000211,13776,6209,9725,9594,7939,6505,6879,4976,7590
E07000212,6661,3580,5378,5422,4463,3648,3726,2898,4470
E07000213,8101,3650,6621,6859,5384,4379,4527,3569,5478
E07000214,6943,4255,6490,6379,5265,4308,4481,3519,5132
E07000215,7127,3950,6143,6119,5225,4489,4613,3597,5156
E07000216,10259,7018,9113,8608,7446,6381,6920,5606,8562
E07000217,8454,4091,6558,6262,5191,4322,4313,3153,4865
E07000218,5963,3239,4767,4736,4239,3659,3877,2913,3523
E07000219,12704,5598,8541,8387,7261,6537,6766,5164,6187
E07000220,8385,4404,7203,7065,5857,4910,5252,4380,5594
E07000221,9175,5996,9687,10068,9007,8050,8783,7117,9232
E07000222,12628,7563,9308,8967,7623,6799,7066,5613,7773
E07000223,5615,2605,4293,4234,3729,3425,3938,3009,4367
E07000224,11807,4642,10138,10854,10237,10152,12185,9444,13412
E07000225,9656,4486,7749,8718,8409,7714,8509,6807,9664
E07000226,12584,5365,6801,6500,5609,4386,4021,2570,4055
E07000227,12282,5870,10256,10723,9331,8060,8700,6601,9323
E07000228,12019,5204,10445,10008,8373,7544,7948,6257,8792
E07000229,10659,3915,7387,7346,6240,5517,6338,4711,7415
E07000234,10014,5177,6981,6960,6019,5525,5665,4557,6372
E07000235,6264,3130,5485,6089,5721,5250,5837,4403,6113
E07000236,9543,4005,5203,5080,4744,4619,4575,3077,3384
E07000237,10362,4173,6718,6552,5394,4789,4720,3475,4681
E07000238,10655,5217,9276,9780,8683,8207,8792,6622,8619
E07000239,7720,4215,7032,6975,6053,6072,7043,5526,6390
E07000240,10783,6656,10587,9544,7608,6236,6382,4787,7445
E07000241,10375,4194,6803,6922,5940,4678,4517,3426,5522
E07000242,12203,6675,10751,10507,8561,6955,7336,5125,7416
E07000243,9885,3515,5634,5772,4694,3555,3351,2451,3705
E07000244,20544,8715,16498,17763,17073,16029,18291,13820,18691
E07000245,14358,5016,11124,11129,9616,8760,9869,7545,10099
E07000246,15345,4836,10153,10864,10203,9717,10315,8010,11245
E08000001,25696,9563,17504,17307,14835,13035,13608,9759,12124
E08000002,17277,7433,11716,12098,10404,8938,9611,6806,8710
E08000003,60105,16689,25357,22939,19205,15068,12995,8653,11727
E08000004,24781,8270,13621,13256,11460,10162,10217,7351,9135
E08000005,22244,7549,12888,12833,11380,10197,9872,6701,8306
E08000006,25692,7277,13058,13389,11495,9011,9503,6672,9081
E08000007,27401,10917,18829,19151,16681,14764,15255,11271,16362
E08000008,22639,9403,14660,14884,12604,10355,11061,7662,9205
E08000009,24048,9818,14987,14775,12365,10394,10400,7737,11499
E08000010,30649,11507,22286,21272,18356,16026,17670,13143,14438
E08000011,16643,5415,9428,10704,9851,7813,6657,4295,6447
E08000012,56244,15183,24890,27671,25504,21053,19109,12683,17809
E08000013,21877,7765,12179,12448,10897,9512,10175,7347,9221
E08000014,26734,10347,17685,19766,18409,15958,15777,11944,18076
E08000015,31620,12985,20464,22056,20245,18124,18440,13003,18416
E08000016,22717,10684,16941,16697,14762,12811,12750,9391,11316
E08000017,33924,14614,19527,20530,18567,15986,15988,11349,15188
E08000018,30443,13479,17703,17345,15626,13589,13833,10396,12912
E08000019,58811,22949,32736,31747,27732,23670,23876,18370,25662
E08000021,29876,8310,14404,15587,14369,11921,11412,7612,11737
E08000022,19941,8608,13250,14127,12837,11695,11467,7692,10850
E08000023,13593,5413,9464,10419,9861,8436,8154,5450,7880
E08000024,26409,9068,17975,18905,17961,15537,15133,10084,14145
E08000025,115165,42574,55519,52437,46118,38603,35170,26496,39107
E08000026,37022,14545,18632,17579,15320,12746,12206,9717,13734
E08000027,31541,13308,21036,20365,17355,15981,16484,13473,17765
E08000028,33359,12738,19388,18121,15433,12904,11989,9235,12598
E08000029,21318,10509,14330,14414,12423,10535,11726,9218,12785
E08000030,30429,11233,17123,16547,14442,12288,12085,9625,13801
E08000031,26733,9999,15305,14492,12764,11161,10367,7901,11952
E08000032,53236,19939,28901,28621,26212,22397,21200,13774,20925
E08000033,19538,9407,14430,13982,12278,10350,10727,7459,9299
E08000034,37699,16378,27172,25973,22854,19829,20512,14468,18668
E08000035,82605,29318,44895,44247,38132,32080,33233,23268,33619
E08000036,32498,15293,23973,23367,20289,17764,17961,12943,15926
E08000037,18762,6513,12540,13321,11937,10248,10476,7256,10798
E09000001,700,363,481,455,374,332,306,203,244
E09000002,19038,8006,10832,9440,7364,5297,4320,2977,4605
E09000003,39852,18316,20930,19652,17029,14067,13348,9779,14754
E09000004,20648,9925,14976,14961,12603,10076,10076,7506,11495
E09000005,35217,14255,16944,15838,13747,10750,8590,6248,9188
E09000006,27242,14179,21169,20439,17042,13769,14829,10889,16572
E09000007,23469,8463,11053,9815,8175,6515,6090,4539,5895
E09000008,32676,13097,20808,20884,17303,13677,12694,8934,13042
E09000009,32609,14515,19965,18267,15265,12264,10525,7356,10627
E09000010,39646,15743,18103,17747,14805,11479,10198,7482,11539
E09000011,26608,12579,14838,13454,10802,8394,7446,5219,6747
E09000012,24544,8356,11613,10610,8303,6200,4790,3057,4031
E09000013,18636,7327,9609,8438,6271,4959,4520,3166,4232
E09000014,21304,12057,14170,12993,10018,7643,6388,4342,5954
E09000015,30435,9776,13458,13356,12448,10645,9310,7000,10731
E09000016,23177,8988,15094,15389,13712,11098,11637,8391,12795
E09000017,32127,11992,17297,16574,13845,10997,9908,7132,11128
E09000018,27036,10782,15695,14204,11998,9661,8307,5723,7751
E09000019,22234,7551,10495,9850,7665,5763,5029,3374,4403
E09000020,12141,5834,7966,7760,6119,4964,4730,3615,4718
E09000021,14951,6300,10382,9294,7643,6382,6311,4381,6143
E09000022,33811,12817,15923,14638,11088,7817,6140,4094,5932
E09000023,26198,10553,15031,14195,11128,7753,6277,4520,6628
E09000024,19700,8195,12131,10916,9153,7273,6544,4480,6857
E09000025,37508,12066,15567,13239,10826,7954,5645,3565,5005
E09000026,29948,11417,15412,14445,12625,10313,9010,6252,9637
E09000027,13749,9014,13465,12283,9620,7963,8367,5940,7826
E09000028,30468,11011,16079,14764,11395,7499,5988,3925,5525
E09000029,20028,8283,12766,12320,9749,8065,8005,5677,8461
E09000030,35306,9943,11501,9258,7498,5460,3980,2579,3947
E09000031,25641,9896,13782,12526,10229,7705,6493,4635,6558
E09000032,36121,13110,15634,13607,10707,8166,7725,5234,7442
E09000033,21051,8459,10595,9879,7969,6106,5492,4226,5645
