LTLA Code,D1.0-40,D1.40-45,D1.45-50,D1.50-55,D1.55-60,D1.60-65,D1.65-70,D1.70-75,D1.75-80,D1.80-150,D2.0-40,D2.40-45,D2.45-50,D2.50-55,D2.55-60,D2.60-65,D2.65-70,D2.70-75,D2.75-80,D2.80-150
E06000014,19845,10323,10760,12595,12362,10683,9472,10263,7348,10678,9111,2592,2913,5925,5092,7483,8968,9989,7188,10469
E06000015,37107,12993,13944,15256,14816,12431,10684,10677,7855,11676,11420,3736,4429,5452,6342,8825,10111,10333,7643,11300
E06000016,41362,17916,18034,18946,17438,15892,13177,10767,7006,10276,17072,5584,6493,8723,9199,11550,11719,10058,6524,9465
E06000017,3028,1926,2196,2781,2718,2573,2400,2762,2093,2821,1171,418,511,718,927,1628,2292,2723,2051,2576
E06000018,29864,12595,13624,15317,14980,12473,10188,9289,6575,9798,16790,4228,5167,6462,7058,8048,9371,8866,6242,9201
E06000019,14763,7276,9384,12450,13617,12834,11863,12430,9376,12683,8030,2481,3233,6412,6441,7999,11121,12158,9226,12400
E06000020,16124,8609,10110,12254,11680,9851,8839,8802,6395,7531,8860,2852,3651,6343,6011,8385,8424,8603,6245,7298
E06000021,30003,12026,13415,15548,15324,13713,11892,11638,8574,10990,12710,4042,5542,7564,8154,10490,11091,11214,8304,10580
E06000022,15298,8984,10405,12020,12026,10335,9162,9657,7267,10613,8565,2472,3253,5709,6598,7757,8783,9465,7165,10384
E06000023,50404,24650,23247,24034,23310,19298,16357,15523,11063,15932,26054,7303,7895,10695,11186,13461,15117,14983,10776,15501
E06000024,19504,11320,12823,14585,14998,12936,12195,13619,10571,14350,8366,3016,4055,5809,7199,8712,11635,13353,10424,14007
E06000025,26633,15245,16402,19339,19102,15496,13197,13844,11201,15019,12978,4344,5049,7935,9043,10576,12580,13592,11033,14678
E06000026,29552,12817,13997,16354,16364,14261,12404,12782,9571,12801,14965,3933,4645,6319,7017,9115,11506,12458,9366,12447
E06000027,11257,5891,7141,9245,9984,9220,8719,9556,7300,9913,6780,2340,2973,6114,6506,6716,7777,9192,7083,9328
E06000030,16284,12151,13977,15506,14983,12481,10156,9557,6813,9433,9292,3324,4191,5996,7622,8332,9606,9340,6694,9057
E06000031,17133,10497,10919,11885,11134,9561,8076,7774,5499,7880,7753,2888,3509,5400,5399,6146,7138,7505,5353,7550
E06000032,17841,10572,10277,11226,10696,8750,7021,6030,4579,6916,7438,2882,3407,4800,5096,5226,6083,5664,4317,6534
E06000033,18634,9516,10507,11386,11471,9705,8401,8876,6620,9279,6868,2714,3464,5044,5353,5974,7558,8536,6401,8958
E06000034,15205,8631,9315,10335,9788,7808,6364,6588,4257,5651,5982,2743,3370,4852,4486,4691,5857,6345,4124,5411
E06000035,24815,14210,14866,17139,17194,14706,12340,12545,8688,10704,10776,3849,4412,6082,6743,8990,10757,11999,8378,10197
E06000036,12627,7528,7742,8320,7918,6578,5338,4845,3439,4636,3918,1391,1572,2175,2487,3002,4992,4662,3348,4393
E06000037,12656,8673,10261,11923,11272,9582,8234,8426,6227,7911,5077,1806,2447,4124,4601,5831,7318,8275,6141,7743
E06000038,17448,9562,9289,9451,8606,6914,5518,5092,3844,5569,6358,2171,2471,3027,3435,3826,4830,4867,3703,5306
E06000039,15186,9637,8599,8114,7016,6008,4707,3604,2319,3603,5755,2576,2802,3417,3286,3501,4230,3345,2191,3441
E06000040,13387,9537,10184,10812,10168,8421,6939,7058,5414,7974,4560,2063,2677,4818,5445,6022,6551,6829,5273,7404
E06000041,15965,11510,12041,11803,11363,9452,7610,7914,5999,8328,5697,2404,2920,5097,5093,5992,6970,7722,5890,8077
E06000042,24302,17029,16754,17183,15737,13571,11659,10840,7020,8560,9630,4140,4695,6988,7030,8350,10664,10497,6848,8335
E06000043,28202,15864,17669,18980,17032,12828,10379,9874,6945,10146,14268,4278,5138,8028,7266,8914,9623,9473,6672,9623
E06000044,25241,10559,10942,12651,12259,10052,8028,7908,5768,8024,11010,2970,3548,5406,5449,7365,7533,7633,5604,7786
E06000045,31163,12446,12127,12442,12532,10906,9151,8645,6429,8583,13530,3562,3851,4902,5492,6211,8213,8306,6193,8345
E06000046,14563,5711,6834,9415,10453,10016,9948,10838,8449,10236,6500,2193,2956,4629,5353,8358,9291,10507,8239,9464
E06000047,47492,24629,28298,35949,37789,33883,30127,30009,21345,26978,24085,8039,9984,16663,20533,21990,27300,29409,21030,26359
E06000049,35358,19350,23094,27843,28799,24636,21665,23781,17725,23698,17046,6020,8271,13485,14914,17732,20437,23294,17463,23211
E06000050,29864,16472,19736,23949,25085,21781,19083,20077,14649,19667,13720,4576,5925,9167,11042,14441,17278,19540,14346,18986
E06000051,27539,13550,17145,22051,23577,21396,19758,20773,16302,20945,13393,4277,6012,10675,11064,14636,18805,20385,16063,20490
E06000052,43429,25093,29835,37403,40300,38146,35890,39074,28750,35529,23008,7725,10220,17891,20119,27590,33751,38329,28261,34756
E06000053,380,125,104,145,159,129,118,141,124,162,100,67,70,127,143,120,116,138,124,161
E06000054,36275,24116,29399,35241,36256,31725,27941,29316,22057,29605,19758,6529,8822,15407,17953,23249,26272,28819,21714,29108
E06000055,14448,9471,10073,11570,11072,9336,7917,8093,5677,8101,7462,2824,3275,6876,5487,6299,7481,7881,5568,7905
E06000056,23874,15968,16937,19508,19821,16532,13889,14298,10374,12866,10665,3880,4593,7232,8285,10581,13025,13980,10185,12534
E06000057,28340,14951,17606,21827,24501,23733,21910,22485,15536,19629,12314,4230,5619,8393,11254,13604,19529,22008,15291,19135
E06000058,39416,20503,21605,24368,24704,21944,19923,21806,16622,25139,17679,6851,8696,12357,13601,15416,18902,21220,16208,24389
E06000059,32000,16193,19654,25141,28122,27479,26158,29657,22457,31144,14008,4671,6294,9654,13237,18569,24432,29006,22054,30313
E06000060,43626,30125,33238,37545,36866,30967,25889,26289,19988,28320,20194,8045,9702,16436,16678,20586,24397,25516,19532,27135
E07000008,17053,7236,6653,6678,6154,4939,4352,3949,3003,4523,8943,1925,2093,2847,3064,3646,3873,3811,2912,4385
E07000009,8098,5223,5755,6205,6005,5059,4606,4922,3562,4839,4133,1512,1884,4571,3552,3881,4464,4834,3505,4761
E07000010,9386,4373,5273,6793,7098,6294,5963,6158,4640,6030,3534,1141,1619,2652,3305,4263,5237,5972,4534,5836
E07000011,20213,9458,10940,12588,12586,10801,9392,10086,7429,9051,7213,2596,3301,5366,6069,7878,8639,9861,7282,8823
E07000012,14156,9971,10784,11204,10800,8994,7884,8389,6355,8652,7277,2887,3448,5343,5193,6778,7475,8222,6255,8468
E07000026,13651,4431,5308,7328,7369,6906,6197,6605,4491,6115,4250,1502,1989,3738,3716,4044,5575,6408,4373,5701
E07000027,8166,2928,3684,4738,4846,4219,3728,3963,2918,3546,3252,947,1289,2150,2422,2468,3590,3903,2869,3482
E07000028,9995,4803,5765,7166,7708,7271,6214,6322,4357,6131,4904,1407,2320,3537,3790,4257,5860,6184,4294,5980
E07000029,8862,2843,3630,4767,5396,4865,4203,4257,2972,3762,2209,709,936,1848,2310,2703,3783,4119,2906,3641
E07000030,4021,2281,2920,3967,4452,4122,3709,3853,2730,3614,1491,483,649,979,1220,1552,3478,3764,2692,3414
E07000031,8400,4441,5634,7354,8134,7678,6903,7726,5784,7806,3886,1402,1978,4304,4157,4839,6595,7616,5698,7683
E07000032,11237,6337,7800,9343,9309,8143,7318,7988,5784,6737,4932,1568,2301,3894,4253,5913,7022,7839,5699,6621
E07000033,8362,3604,4517,5939,5712,5012,4240,4252,3407,3794,4100,1303,1800,2946,3033,3729,3965,4163,3360,3716
E07000034,14935,5139,6036,7150,7462,6637,5840,5888,4393,5626,4115,1366,1705,2882,3031,4670,5479,5732,4260,5427
E07000035,4667,3101,4069,5558,6022,5438,4962,5426,4085,5108,2280,849,1233,2366,2874,3708,4642,5350,4036,5010
E07000036,9842,5533,6603,8198,8012,6746,5926,6294,4738,6039,4441,1439,1891,3639,3631,4483,5538,6143,4666,5924
E07000037,9265,4606,5375,6910,7282,6386,5384,5478,3916,4646,3798,1296,1715,2872,3788,4129,4914,5359,3858,4348
E07000038,11437,4915,5789,7291,7427,6846,6253,6709,5361,6377,4088,1483,1943,4035,4241,4944,5843,6549,5246,6171
E07000039,14502,5832,6684,8027,7430,6167,5578,5521,3943,4582,4843,1703,2361,3222,3189,4134,5076,5427,3895,4499
E07000040,10738,6342,7669,9722,10279,9872,9990,11584,9186,13137,5655,1854,2523,4213,4742,5946,9537,11400,9063,12690
E07000041,14117,6227,6375,7283,6967,5985,5326,5522,4132,6176,7701,1962,2186,3437,3502,3696,4841,5383,4055,6037
E07000042,6395,3859,4519,5799,6043,5376,5035,5292,3962,5108,3051,1041,1342,2401,2817,3028,4440,5185,3893,4970
E07000043,7718,4438,5250,6795,7379,6881,6120,6757,5212,6773,4147,1443,1840,3354,3783,4519,5609,6602,5142,6667
E07000044,6037,3715,4442,5955,6819,6629,6180,6737,4910,6244,2996,1073,1363,2616,2986,4205,5663,6551,4827,6132
E07000045,10731,6117,7197,9287,10306,9440,9056,9676,7365,9527,5719,1900,2436,4196,4934,5780,8577,9469,7213,9108
E07000046,4887,2787,3449,4720,5203,5196,4881,5316,3891,4701,2699,900,1142,2556,2712,3139,4367,5130,3821,4626
E07000047,4406,2397,2973,3918,4557,4284,3981,4308,3264,4147,2319,835,1094,2142,2583,3242,3803,4238,3203,4080
E07000061,11444,4860,5433,6336,6656,6008,5486,6268,4711,7382,5619,2512,3551,4807,5106,5003,5150,6106,4598,7032
E07000062,7852,4117,4671,6076,6283,5359,4868,4874,3386,4285,3437,1264,1828,2514,3032,3498,3879,4627,3229,4027
E07000063,8596,4722,5632,6892,7115,6437,6156,6762,5147,7421,3854,1590,2198,3205,3668,4835,5840,6591,5009,7157
E07000064,5937,3378,4343,6058,6959,6804,6628,8063,6124,8543,3554,1211,1745,3493,3523,5135,6000,7893,6014,8335
E07000065,11932,6819,8629,10970,11860,10818,9880,11119,8642,11329,5992,2276,3019,6115,5695,7430,9343,10889,8493,11013
E07000066,23143,9969,10570,12145,11691,10027,8067,8593,6004,8264,6988,2710,3304,5000,5451,6621,7343,8199,5787,7866
E07000067,13746,7747,9110,10931,10298,8790,7970,8617,6133,7612,5533,1949,2575,4186,4099,5035,7408,8327,5981,7427
E07000068,8120,4124,4491,5257,5402,4348,3640,3868,2893,4660,1967,825,977,1687,2133,2583,3169,3756,2832,4569
E07000069,9772,4154,4802,6044,6131,5517,5103,6274,4774,5881,3175,1079,1411,2060,2729,3431,4595,6069,4600,5691
E07000070,18889,10076,11048,12107,11538,9799,8503,9377,6860,9474,7233,2458,3034,4817,5192,5864,7799,9166,6743,9296
E07000071,17973,10196,10853,12058,11413,9470,8315,9444,6819,8804,9456,3108,3428,5199,4896,5934,7878,9136,6629,8436
E07000072,10128,6595,7208,8989,9099,7607,6409,6770,5029,7110,3996,1475,1968,3361,3868,4686,5780,6526,4920,6750
E07000073,8262,4903,4706,5411,5423,4631,3785,3292,2349,3601,3959,1406,1619,2171,2621,3214,3497,3191,2291,3494
E07000074,4623,2834,3707,4973,5026,4650,4104,4581,3390,4129,2105,698,1029,2010,2236,3128,3930,4462,3328,4047
E07000075,9464,4410,5140,6291,6138,5316,4633,5428,4064,5440,3346,1270,1634,2575,3258,3519,4308,5297,3999,5331
E07000076,12064,5720,7073,9438,10459,10275,10009,11785,9040,11772,6195,2094,2630,4277,5090,7718,9512,11424,8772,11408
E07000077,8142,5137,5666,6675,6487,5527,4683,4891,3633,4836,3375,1211,1654,3140,2952,3474,4252,4794,3558,4662
E07000078,11353,6388,6649,7415,7714,6469,5487,5690,4396,6836,5633,1720,2047,2570,4515,5245,5298,5557,4325,6691
E07000079,7282,4378,5410,6487,7096,6321,5863,6151,4754,6387,2676,1368,1844,2930,3422,3704,5648,6018,4633,6139
E07000080,6071,3153,4183,5628,6198,5549,5079,5329,3953,4834,2942,891,1326,1819,2249,3100,4674,5193,3863,4631
E07000081,13439,6614,7112,8448,8409,7133,5708,5588,4375,5771,6850,2508,2943,4031,4709,5337,5394,5427,4283,5626
E07000082,8972,6123,7497,8863,8893,8155,7162,7569,5474,7305,4010,1487,2240,3453,4288,5709,6897,7450,5406,7207
E07000083,9779,5186,5531,6412,6749,5817,5379,5587,4291,5716,4015,1307,1570,2172,3078,4451,5254,5487,4213,5599
E07000084,16030,10222,11473,12815,12329,9963,8219,8745,6217,7879,6219,2555,3086,4127,4815,6848,7935,8554,6087,7715
E07000085,10735,6449,7675,9053,9441,8456,7090,7567,5762,7911,4319,1547,2062,3232,3993,5634,6826,7439,5664,7713
E07000086,13497,7710,7921,8944,8940,7783,6791,6923,5046,7210,5690,1963,2191,3120,3743,4525,6292,6706,4921,7008
E07000087,10500,5840,6657,8006,8609,7630,6425,7211,5659,7965,4576,1926,2400,4455,4484,5446,6040,7051,5531,7816
E07000088,8666,3795,4329,5381,5645,5133,4398,4719,3379,4611,3749,1191,1608,2573,2830,3427,4199,4618,3316,4543
E07000089,11699,6007,6963,7131,6993,5592,4606,5140,4058,5446,3301,1210,1741,3310,3108,3743,4433,5061,3990,5364
E07000090,11359,5627,6486,8366,8939,8367,7239,7728,5924,8480,5170,1947,2471,3754,4079,6053,6921,7546,5807,8089
E07000091,15831,7798,9398,11964,13432,12366,11838,13249,10235,15093,6714,2239,3039,5326,6405,7908,11019,12996,10071,14556
E07000092,13046,5814,5893,6515,6349,4832,3939,4086,2980,3683,5080,1513,1762,2993,3141,2926,3713,3965,2886,3605
E07000093,11889,6942,7944,9088,9212,7847,6645,7385,5548,7280,4665,1605,2009,2821,3595,4760,6077,7216,5434,6937
E07000094,13668,7023,7740,8463,8606,7418,6347,6769,5220,7605,5439,1860,2216,2997,3759,4865,6025,6617,5141,7459
E07000095,8180,4913,5409,6474,6218,5162,4144,4366,3335,4897,3129,1253,1620,2367,2761,3434,3843,4274,3262,4767
E07000096,13865,9123,9479,10124,10151,8608,7060,6837,4926,7349,6424,2457,2806,4471,4927,5509,6736,6661,4810,7053
E07000098,11758,6251,6535,6873,6989,5705,4672,4809,3616,5528,5045,2169,2516,3559,4131,4503,4464,4698,3547,5374
E07000099,10559,7868,8534,8970,8990,7375,6320,6596,4898,7385,5125,1959,2407,4081,4263,5033,5900,6466,4805,7191
E07000102,9866,5866,6311,6630,6489,5168,4232,4352,3206,4741,3766,1634,1925,2893,3396,3859,4055,4255,3136,4635
E07000103,12197,6466,6192,6114,5375,4273,3374,3111,2347,3443,4865,1836,2125,3129,2832,3089,3158,3013,2278,3235
E07000105,11229,6331,7291,9212,8674,7213,6417,7090,5302,6487,5573,1923,2368,3385,3832,4862,5581,6909,5193,6307
E07000106,13487,6730,7782,9328,9641,8756,8327,9161,6742,9083,6561,2020,2416,4365,4791,5938,7826,8975,6639,8893
E07000107,11630,6456,6423,6873,6481,5257,4139,4096,2878,4341,5037,1998,2252,3248,3318,3893,3804,3960,2808,4171
E07000108,10532,5027,5774,7370,8133,7537,7096,7351,5492,6822,5201,1760,2207,3452,4133,5496,6632,7103,5305,6540
E07000109,8956,5233,5678,6767,6656,5441,4665,4725,3505,4957,4750,1746,2084,3475,3919,4452,4398,4601,3411,4775
E07000110,13930,8719,9795,11488,11057,9463,8243,9000,6511,8710,6869,2484,3108,4923,5510,6558,7682,8730,6356,8315
E07000111,8563,6428,7242,8251,8171,7011,6188,6744,5103,7202,3830,1514,1828,3450,3671,4849,5841,6546,4987,6900
E07000112,9233,5136,5795,7308,7788,7112,6600,7515,5421,6941,4921,1814,2374,3758,4189,5604,6226,7322,5284,6700
E07000113,12221,7284,7951,9790,10064,8555,7403,8130,5684,6768,5873,1963,2339,3132,3739,4637,6550,7842,5557,6455
E07000114,15915,6436,7183,8626,9189,8425,8064,8975,6613,8368,6547,2092,2710,4327,4786,5969,7161,8730,6432,8166
E07000115,9748,7275,8386,9174,8882,7384,6097,6694,5048,6811,4206,1619,1962,3006,3321,4999,5686,6562,4964,6670
E07000116,8296,6362,7431,8275,7600,6457,5285,5780,4420,6341,3749,1410,1882,2715,3078,4910,5028,5621,4338,6198
E07000117,8334,3953,4461,5409,5658,5078,4381,4603,3149,3742,3195,1059,1331,2111,2483,2958,3908,4457,3063,3606
E07000118,12386,6101,6940,8278,8060,6992,6176,6731,4802,5607,5651,1990,2482,4086,4522,5046,5781,6573,4726,5435
E07000119,8599,3494,4207,5576,6223,5940,5290,5841,4574,6209,3545,1217,1720,3212,3407,4458,5073,5740,4508,6064
E07000120,7537,3085,3881,5089,5042,4454,3811,4043,2906,3487,2672,961,1288,1825,2089,2936,3547,3925,2832,3356
E07000121,20687,6525,7116,8877,9298,8510,7560,7815,5642,7650,8359,2505,2926,5100,5066,6551,7079,7639,5559,7510
E07000122,7815,3852,4356,5393,5520,5113,4480,4716,3159,3996,2877,1055,1321,2033,2442,3008,3959,4499,3055,3690
E07000123,22850,7226,7704,8549,8453,7239,5830,5503,3890,5619,7617,2318,2817,3792,4068,5134,5336,5272,3759,5338
E07000124,5854,2735,3487,4662,4856,4418,3710,3962,2955,3848,2187,815,1087,1700,1964,2862,3574,3894,2924,3727
E07000125,6501,3204,3832,4888,4867,4156,3653,3779,2522,2974,2435,965,1223,1760,2145,2480,3183,3676,2446,2891
E07000126,12451,5575,6631,7788,7950,6783,6152,6588,4636,5984,4901,1699,2183,3034,3494,4897,5673,6430,4559,5775
E07000127,12736,4916,6129,7775,8365,7308,6387,6871,5136,6482,5553,1828,2427,4063,4685,5771,6091,6709,5051,6151
E07000128,11972,4533,5550,7346,8224,7941,7404,8186,6152,8303,5650,1958,2529,4501,5128,6514,7002,7996,6040,8046
E07000129,12305,5328,5843,6890,6737,6083,5183,5623,4165,5526,4799,1724,2224,3083,3323,4726,5002,5543,4098,5418
E07000130,18768,8647,9643,11441,11028,10063,9031,9112,6748,8748,6949,2269,2640,3679,4074,6618,8129,8879,6598,8365
E07000131,7888,4904,5952,7147,7045,6072,5344,5699,4277,5428,3552,1359,1790,3157,4084,5036,5109,5589,4179,5257
E07000132,10312,5360,6407,7991,7789,7040,6479,7017,5108,6230,4993,1542,1957,2844,3428,4805,6110,6857,5024,6080
E07000133,3876,2145,2787,3849,4097,3487,3178,3369,2410,2975,1777,646,855,1392,1995,2313,3061,3313,2382,2771
E07000134,9720,5168,6360,7531,7160,6160,5543,5912,4267,4823,3357,1142,1646,2363,2687,3846,5237,5764,4172,4706
E07000135,7163,2931,3084,3582,3647,3371,2834,2974,2329,3751,2705,989,1123,1400,1709,2459,2692,2884,2266,3417
E07000136,5905,2872,3498,4102,4348,3941,3588,3719,2798,3784,2798,898,1138,1800,1908,2725,3300,3608,2719,3698
E07000137,11985,5525,6999,9498,11051,10999,10844,11951,8995,10416,4472,1485,2255,3347,4594,6581,9508,11524,8689,10062
E07000138,10282,4338,4645,5328,5561,4653,3967,3895,2759,3975,5715,1392,1568,2803,2958,3324,3762,3764,2689,3885
E07000139,12034,5799,6873,8315,8685,7353,6512,7428,5742,7231,5271,1492,2113,3847,4452,5272,6195,7300,5649,7118
E07000140,7354,4061,5065,6156,6580,5725,5418,6071,4456,6093,2665,842,1308,1763,2529,3466,5107,5916,4358,5942
E07000141,13241,7201,8659,10132,10432,9274,8308,8945,6747,8348,4554,1648,2331,3234,4525,5475,7842,8753,6621,8163
E07000142,8569,4250,5159,6688,7232,6632,6150,6560,4954,5731,3857,1226,1672,2843,3455,4636,5837,6445,4886,5627
E07000143,11644,6146,7372,9301,9945,8846,8455,9448,7078,9205,5574,1813,2523,3943,4945,6251,7862,9124,6875,9038
E07000144,11759,6549,7818,9435,9453,8418,7969,9064,6781,9526,6005,2048,2634,3927,4180,5341,7422,8903,6700,9384
E07000145,11540,4382,5192,6561,6887,6379,5971,6474,4872,5990,4899,1429,1830,2620,3192,3686,5274,6266,4769,5855
E07000146,13065,6282,7830,9802,10745,9914,9405,10417,8045,10619,6639,2095,2772,4639,5519,7253,8880,10190,7893,10410
E07000147,7083,3509,4872,6595,7619,8104,8044,9234,6884,9401,3530,1131,1632,2602,3462,4795,7383,9044,6773,9249
E07000148,17512,7180,7222,7598,7191,6082,5616,5502,3982,5750,9909,2285,2589,3362,3212,3648,5112,5347,3915,5657
E07000149,12948,7116,8380,9621,10001,8953,8220,9270,7015,9258,6626,2293,2828,3690,4205,5721,7394,9115,6913,9137
E07000150,5451,3446,3567,4386,4532,3850,3107,2705,1964,2336,2289,746,835,1575,1568,2110,2698,2603,1905,2248
E07000151,6734,4347,5205,6459,6541,5412,4775,5053,3578,4183,3284,1142,1555,2863,3455,4215,4572,4963,3527,4113
E07000152,7727,4484,5539,6795,6660,5521,5068,5563,3888,4723,3082,1201,1605,2839,3181,3926,4714,5413,3827,4584
E07000153,9685,5433,6130,7033,6569,5388,4922,5238,3848,4630,4629,1645,1992,3419,3341,3895,4350,5042,3744,4481
E07000154,18776,11727,12662,13665,13119,10875,9277,9418,6498,8720,9229,3360,4198,6677,6466,7973,8522,9119,6320,8425
E07000155,6938,5276,6293,7367,7234,6096,5087,5590,3979,4631,2847,1116,1552,2580,3159,4162,4648,5506,3913,4520
E07000156,6347,3958,4537,5444,5177,4412,4084,4271,3078,3649,2553,1052,1281,2131,2450,3112,3752,4166,3001,3510
E07000163,5638,2609,3120,4207,4448,4332,3994,4098,3116,4047,2131,782,980,1699,2240,3004,3688,3999,3061,3948
E07000164,6724,4071,4794,6542,7438,6649,6113,6582,4848,6522,3179,1136,1544,2391,3511,4545,5684,6471,4799,6409
E07000165,14869,8545,9917,11977,12345,10826,9273,10044,7319,10634,6106,2302,3280,6082,6465,7459,8774,9852,7185,10404
E07000166,4549,2282,2598,3449,3652,3493,3061,3175,2234,2878,1471,405,506,869,1261,1622,2557,3096,2206,2640
E07000167,4443,2359,2981,3853,4406,4018,3817,4019,2980,3949,1791,617,920,1575,1962,2759,3612,3959,2930,3900
E07000168,10993,4495,5588,7120,8265,8009,7513,8027,5791,7597,4920,1539,2102,3967,5376,6293,6967,7879,5705,7313
E07000169,9220,4663,5520,6602,6904,6050,5090,5342,3644,4349,3321,1218,1546,2346,3158,4289,4872,5252,3597,4136
E07000170,12415,6008,7048,8703,8676,7235,6386,6496,5178,6053,7093,2402,2995,4030,4478,5448,5986,6219,5006,5738
E07000171,11828,5575,6611,8385,8774,7534,6617,7125,5255,6388,5932,2286,2905,5424,5798,6088,6288,6960,5133,6168
E07000172,10062,5469,6039,7428,7451,6575,5884,6625,4825,6381,5576,1817,2184,3003,3510,4570,5527,6468,4679,6134
E07000173,10540,6034,6621,8126,8150,7016,6386,6762,4823,6670,5986,2148,2803,3563,4070,5118,6133,6615,4720,6435
E07000174,11755,5173,5778,7232,7603,6670,5745,5576,4228,5139,6404,2138,2544,3597,4149,5257,5389,5282,4059,4838
E07000175,10516,5509,6790,8534,8845,7835,6993,7525,5548,6863,5682,1955,2673,3804,4419,5939,6645,7303,5384,6521
E07000176,10138,6804,7253,8270,8143,7043,6278,6722,5039,7008,5315,2102,2362,3081,3568,5299,6059,6612,4947,6773
E07000177,13381,8895,9212,10756,10656,8706,7327,7435,5290,7396,6251,2200,2632,3885,4648,5198,6673,7265,5199,7249
E07000178,19167,7878,7604,7860,7479,6105,4884,4650,3428,5029,9072,2209,2710,3965,3936,3915,4419,4472,3242,4734
E07000179,12517,8344,9354,10833,10427,8681,7380,7736,6247,8491,5051,1852,2434,4538,4930,5689,6887,7620,6141,8272
E07000180,10769,7802,8386,9155,9226,8050,6783,7137,5357,7608,4470,1562,1857,2656,3626,4643,6258,6974,5265,7433
E07000181,8580,5907,6658,7892,8094,6950,5987,6358,4924,6856,4188,1419,1871,2836,3801,4257,5473,6225,4858,6755
E07000187,10574,5237,6385,8235,8326,7448,6875,7348,5352,7158,5060,1758,2311,4511,4506,6253,6460,7226,5282,7022
E07000188,9007,5394,6570,8635,9142,7969,7372,8086,5932,7708,4823,1516,2025,3723,4350,5036,6638,7807,5809,7483
E07000189,15694,7540,9079,11428,12169,11164,10653,11830,8803,11438,7677,2480,3223,6693,6621,8436,10128,11634,8676,11214
E07000192,10369,4797,5859,7301,7142,5898,5152,5223,3946,4696,5122,1627,2679,3907,3666,4952,4936,5126,3875,4562
E07000193,12330,5945,6801,8185,8097,7211,5965,6059,4593,5891,4945,1840,2491,3320,3731,5145,5653,5919,4502,5766
E07000194,9155,5096,6237,7601,7472,6353,5965,6752,5667,6358,4003,1492,2159,3365,3773,5000,5653,6594,5561,6210
E07000195,11737,5827,6787,8412,8341,7649,6658,7161,5244,7090,6327,1999,2584,4035,4083,5660,6286,6973,5097,6930
E07000196,11111,5082,6202,7964,8373,7638,6699,7176,5892,7378,4850,1612,2240,3483,4067,6053,6416,7059,5778,7198
E07000197,14097,6861,7845,9620,9378,8521,7702,8179,6529,8160,6316,2262,2914,4761,4670,7403,7430,8011,6409,8029
E07000198,7872,4120,5411,7308,7225,6560,6154,6855,5157,6347,4226,1434,2209,3848,3855,5224,5950,6740,5084,6243
E07000199,6583,3474,4295,5403,4887,4445,4190,4121,2942,3265,3142,1031,1410,3179,2399,3098,4014,4033,2893,3166
E07000200,8394,4321,5160,6525,6719,6032,5760,6606,5034,6407,3761,1405,1783,3331,3800,5016,5548,6487,4959,6294
E07000202,17255,7177,7486,8241,7936,6897,5969,5807,4111,6241,8038,2501,2850,4007,4867,6152,5714,5642,3995,6025
E07000203,9810,4605,5813,7222,7766,7083,6579,7111,5167,6545,5091,1547,2326,3583,4607,6299,6399,7029,5099,6434
E07000207,12155,9471,10080,10024,9233,7358,6050,6130,4646,7325,4217,1953,2451,5768,4889,5328,5676,5930,4457,7087
E07000208,7342,5194,5432,5470,5186,4169,3492,3853,2826,4023,3268,1349,1604,2796,2607,2899,3295,3751,2760,3887
