LTLA Code,D1.0-30,D1.30-35,D1.35-40,D1.40-45,D1.45-50,D1.50-55,D1.55-60,D1.60-65,D1.65-70,D1.70-75,D1.75-80,D1.80-150,D2.0-30,D2.30-35,D2.35-40,D2.40-45,D2.45-50,D2.50-55,D2.55-60,D2.60-65,D2.65-70,D2.70-75,D2.75-80,D2.80-150
E06000012,5037,4619,6088,6573,8114,10133,11026,9662,8427,8597,6093,8677,2767,1954,2034,2041,2819,4646,5592,6977,7936,8420,5960,8509
E06000013,5457,5971,7395,7783,9159,11693,12289,10946,9729,9984,7139,9268,3614,2212,2378,2691,3764,7496,8733,9257,9267,9804,7040,9093
E06000014,8205,5794,9276,10527,10861,12645,12439,10818,9481,10264,7347,10665,4882,2470,2651,2839,3207,7977,6853,9467,9126,10039,7212,10485
E06000015,15096,10988,12768,13170,14035,15315,14981,12506,10697,10678,7856,11666,6081,3410,4065,4643,6521,8416,9633,11246,10262,10398,7683,11354
E06000016,22021,12824,16272,18798,18505,19137,17681,15987,13226,10783,7018,10264,9192,4946,5748,6800,7970,10415,11262,13309,12038,10166,6580,9509
E06000017,1062,751,1544,1958,2211,2787,2729,2585,2405,2765,2091,2815,619,357,397,519,663,1595,2026,2364,2340,2732,2057,2572
E06000018,14550,10640,12545,13186,13890,15411,15091,12584,10201,9296,6571,9784,9627,4119,4350,4619,5659,7226,9187,10201,9573,8930,6285,9249
E06000019,5869,4323,6384,7752,9588,12510,13658,12871,11868,12438,9374,12660,3975,2283,2503,2728,3523,8955,8229,10696,11406,12224,9249,12407
E06000020,6692,4359,6447,8890,10248,12290,11802,9866,8851,8807,6392,7524,4421,2628,2901,3260,4208,7960,9132,9251,8547,8638,6275,7335
E06000021,10377,10850,12282,12462,13594,15630,15426,13799,11919,11639,8576,10963,5907,3944,4319,4744,6717,9712,9677,12068,11309,11272,8339,10603
E06000022,7011,3903,6817,9274,10537,12057,12125,10394,9172,9660,7260,10598,4702,2384,2389,2728,3609,9488,8478,9277,8905,9501,7174,10394
E06000023,21805,15165,21201,25571,23633,24142,23458,19480,16377,15530,11061,15911,13797,8073,8187,8572,9436,15182,14126,16636,15536,15083,10806,15534
E06000024,8350,6334,8944,11621,12938,14632,15097,13079,12208,13624,10575,14323,4361,2387,2875,3715,5405,8998,9477,10847,11790,13406,10459,14023
E06000025,11223,8531,13446,15753,16626,19379,19207,15664,13201,13847,11204,14999,6836,3938,4363,5101,6200,12726,12098,13570,12838,13641,11062,14692
E06000026,12264,8937,12529,13023,14113,16407,16498,14675,12423,12792,9566,12774,8071,4331,4472,4446,5272,8215,9016,12162,11797,12539,9393,12490
E06000027,4411,3279,5090,5961,7180,9260,10006,9259,8728,9555,7302,9900,3219,2039,2044,2600,3771,7943,8159,8085,8257,9263,7115,9344
E06000030,6218,4908,9935,13022,14357,15600,15069,12536,10157,9563,6820,9424,4116,2649,3102,3510,4451,8384,8770,9441,9722,9374,6713,9078
E06000031,5658,4953,9363,11140,11189,11959,11175,9607,8093,7775,5498,7864,3315,2402,2936,3297,4515,6907,6146,7628,7334,7537,5374,7578
E06000032,7123,5458,8387,11044,10581,11345,10778,8856,7042,6043,4577,6917,3817,2227,2855,3499,4084,6251,6188,6644,6336,5729,4364,6619
E06000033,6838,5370,8179,9683,10559,11446,11525,9734,8400,8874,6621,9270,3034,2104,2715,3272,4179,6418,6732,7107,7754,8576,6423,8981
E06000034,4932,4753,7708,8969,9458,10381,9826,7818,6366,6588,4257,5644,2578,1863,2351,3192,4014,5727,5257,5448,5965,6370,4132,5422
E06000035,8623,7923,11909,14537,15039,17239,17427,14827,12361,12545,8684,10697,5040,3280,3771,4426,5040,8209,9600,11284,11337,12144,8425,10228
E06000036,3622,4166,6933,7625,7785,8337,7936,6599,5338,4850,3439,4637,1958,1335,1594,1819,2171,3598,3765,4775,5072,4688,3358,4414
E06000037,4856,4260,7109,9282,10531,11975,11302,9618,8244,8427,6225,7905,2751,1590,1921,2268,3013,7230,6877,8120,7800,8316,6147,7742
E06000038,6135,6302,9313,9985,9452,9506,8640,6940,5525,5092,3846,5558,3191,2072,2170,2564,2917,4237,4399,5333,5046,4910,3725,5324
E06000039,4656,5768,8936,10120,8845,8208,7085,6072,4725,3616,2322,3599,2324,1843,2292,3032,3217,4324,3905,4188,4320,3395,2200,3450
E06000040,4136,4988,7778,9667,10264,10855,10209,8463,6947,7069,5414,7965,2174,1240,1691,2807,4045,7286,6952,7051,6660,6871,5297,7418
E06000041,5145,5098,9348,11891,12148,11841,11376,9478,7619,7915,6002,8318,2752,1652,2160,2834,3495,6723,6531,8257,7253,7755,5911,8082
E06000042,8567,7398,13358,17532,16988,17274,15807,13640,11673,10839,7019,8547,4257,2866,3769,4659,5243,9135,8616,10623,10963,10567,6861,8356
E06000043,11366,9373,14040,16207,17819,19056,17084,12925,10393,9890,6946,10141,7198,4045,4234,4735,5658,9521,8670,10814,9776,9529,6706,9672
E06000044,10786,7166,10029,10750,11026,12685,12293,10110,8034,7911,5767,8013,5544,3370,3338,3345,4126,6690,7479,8959,7687,7686,5627,7789
E06000045,13374,9086,11641,12763,12335,12501,12628,10952,9159,8648,6428,8572,7327,3801,3900,4292,4633,7235,7073,8374,8474,8374,6216,8361
E06000046,6877,4237,4496,5789,6878,9444,10472,10027,9965,10854,8441,10230,3341,2089,2305,2835,3872,7033,8358,9374,9537,10561,8260,9492
E06000047,17872,15250,22890,25176,28583,36064,37914,34064,30159,30008,21329,26938,11580,6867,7860,8719,10876,22066,26144,26629,28590,29530,21070,26381
E06000049,12494,10615,17135,19923,23419,27970,28899,24697,21679,23783,17731,23670,8117,4917,5883,6602,8995,17065,18245,21350,20889,23392,17513,23235
E06000050,11747,8780,13755,17118,19984,24038,25178,21837,19102,20082,14645,19654,6672,4095,4840,5319,6820,11632,13173,17261,17874,19648,14386,19042
E06000051,12282,8621,11749,13889,17300,22108,23756,21548,19775,20775,16300,20916,6696,3908,4206,4785,6739,14190,15342,18874,19110,20436,16080,20502
E06000052,16416,13742,21402,25661,30119,37504,40672,38545,35923,39070,28736,35477,11032,6532,7274,8312,11045,23336,25204,34225,34585,38384,28289,34751
E06000053,179,88,127,128,109,146,161,130,118,143,126,161,122,64,91,98,98,135,150,124,116,140,126,160
E06000054,14789,9571,18796,25239,29996,35368,36424,31935,27971,29305,22046,29560,9645,5700,6289,7111,9645,22390,23266,27883,26959,28889,21776,29146
E06000055,5985,5225,8200,9837,10263,11624,11101,9395,7925,8093,5681,8095,3430,2220,2706,3212,3728,8983,6910,8042,7645,7942,5597,7941
E06000056,8734,8075,13902,16325,17112,19584,19898,16724,13907,14303,10373,12847,5184,3558,4086,4812,6582,10423,11647,13721,13290,14029,10216,12560
E06000057,11882,9928,13419,15249,17769,21896,24594,23828,21929,22496,15530,19598,6235,3712,4451,5026,6700,11169,15304,17559,20752,22097,15321,19151
E06000058,14828,11773,17093,20816,21789,24453,24878,22091,19939,21805,16619,25099,8452,5195,6367,9544,11792,16692,17312,18766,19199,21312,16258,24450
E06000059,12553,9699,13587,16500,19794,25219,28388,27639,26185,29663,22455,31091,6977,4068,4603,5964,8183,13648,19741,23669,25101,29113,22106,30332
E06000060,15787,13754,24271,31346,33695,37693,37018,31239,25933,26287,19980,28299,9515,5852,7382,9161,11305,22269,21769,26147,24864,25669,19607,27226
E07000008,7511,5104,7393,7527,6770,6722,6186,4956,4359,3955,3003,4520,5137,2464,2128,2220,2336,3846,4027,4399,4026,3837,2918,4397
E07000009,2839,3157,4659,5292,5799,6226,6034,5180,4613,4924,3562,4832,1760,1181,1417,1609,1986,5073,4003,4525,4508,4850,3507,4761
E07000010,3205,3140,4070,4563,5358,6809,7120,6321,5968,6155,4636,6017,1871,1151,1265,1443,1982,4301,4264,5452,5557,6023,4548,5849
E07000011,8311,6355,8415,9898,11101,12626,12637,10890,9405,10101,7426,9044,3574,2542,2750,3243,4407,8116,7211,9661,8945,9929,7307,8843
E07000012,4780,3966,8069,10330,10935,11256,10833,9044,7891,8394,6357,8645,3235,2112,2578,3150,4050,7335,6695,8131,7596,8242,6268,8492
E07000026,7526,3945,4370,4492,5392,7341,7385,6918,6197,6608,4488,6104,2254,1289,1496,1877,2465,4582,4462,5237,5957,6473,4408,5740
E07000027,2890,2840,3024,2977,3707,4749,4857,4238,3729,3961,2919,3545,1614,956,991,1046,1435,3094,3252,3295,3640,3909,2871,3488
E07000028,4333,3326,4611,4897,5822,7193,7736,7298,6218,6319,4358,6130,2366,1405,1551,1563,2510,3947,4264,5211,5956,6205,4304,5987
E07000029,4539,2522,2953,2958,3687,4781,5415,4881,4206,4257,2973,3756,1116,625,694,784,1095,2148,2688,3168,3861,4143,2919,3661
E07000030,1734,1102,1964,2304,2930,3971,4471,4132,3714,3855,2731,3611,867,438,470,560,795,1409,1821,2506,3544,3776,2697,3418
E07000031,3159,2627,3994,4507,5666,7380,8160,7703,6904,7722,5781,7788,1953,1080,1270,1538,2172,5390,5122,6221,6719,7629,5701,7665
E07000032,4379,4095,5298,6394,7837,9364,9377,8179,7316,7988,5777,6731,2533,1449,1703,1864,2779,5123,5755,7311,7093,7858,5707,6619
E07000033,3259,3122,3631,3666,4548,5958,5728,5053,4250,4252,3409,3788,2003,1203,1321,1476,2202,3828,3715,4534,4046,4175,3369,3722
E07000034,7175,4456,4943,5185,6060,7170,7489,6682,5844,5890,4389,5623,2112,1206,1350,3075,4099,3711,3571,5426,5568,5773,4288,5470
E07000035,2125,1711,2318,3202,4145,5581,6088,5482,4965,5426,4079,5099,1175,660,763,1014,1504,3314,4038,4897,4843,5366,4041,5009
E07000036,3749,3655,5000,5638,6668,8224,8089,6779,5927,6288,4737,6010,2266,1456,1512,1724,2321,5371,5435,6025,5701,6175,4681,5925
E07000037,3876,3293,4289,4674,5411,6938,7314,6428,5386,5477,3918,4638,1986,1170,1397,1626,2252,4341,5253,5458,5152,5390,3864,4353
E07000038,4824,3998,4513,4962,5808,7298,7446,6878,6255,6709,5360,6365,2054,1231,1330,2065,2960,5087,4981,5888,5990,6578,5265,6194
E07000039,5219,4720,5487,5896,6719,8047,7494,6204,5582,5519,3946,4576,2490,1512,1727,2126,3121,4529,4636,5606,5395,5444,3905,4504
E07000040,4014,3229,5231,6459,7737,9738,10308,10008,9994,11582,9186,13133,2763,1539,1792,2022,2746,5979,6101,7892,9730,11436,9084,12713
E07000041,6367,3923,5896,6333,6439,7298,6999,6043,5339,5520,4132,6168,4324,2057,2186,2191,2481,4723,4452,4612,5042,5418,4065,6047
E07000042,2355,1804,3218,3942,4571,5815,6067,5448,5040,5295,3962,5102,1667,912,1099,1202,1590,3204,3652,4107,4773,5213,3898,4975
E07000043,2729,2592,3752,4527,5306,6811,7400,6906,6131,6757,5211,6766,2021,1203,1226,1520,1972,4856,5112,5833,5924,6643,5156,6683
E07000044,2247,1855,3008,3800,4501,5984,6863,6769,6189,6743,4907,6232,1511,911,1012,1194,1570,3919,4110,5709,5926,6610,4842,6137
E07000045,3963,3086,5460,6226,7247,9311,10342,9518,9066,9682,7363,9519,2719,1678,1819,2038,2660,5655,6546,7446,8728,9500,7231,9141
E07000046,1782,1600,2279,2830,3473,4740,5233,5236,4880,5311,3891,4693,1345,773,807,977,1250,3399,3454,4212,4650,5235,3844,4636
E07000047,1583,1344,1850,2438,2992,3926,4572,4321,3985,4311,3259,4134,1157,600,724,883,1201,2962,3428,3784,3855,4253,3208,4076
E07000061,4500,3354,4325,4933,5475,6359,6670,6025,5492,6271,4720,7370,2591,1705,1877,2868,3836,5202,5455,5547,5236,6127,4620,7038
E07000062,2765,2559,3785,4261,4759,6094,6310,5404,4881,4880,3382,4287,1642,1148,1262,1440,1972,3631,3737,4372,4328,4677,3252,4049
E07000063,3001,2609,4051,4815,5668,6909,7146,6477,6169,6761,5148,7413,1820,1121,1338,1773,2452,4060,4351,5783,5952,6622,5037,7189
E07000064,2534,1753,2789,3515,4411,6082,6988,6827,6637,8067,6127,8536,1834,999,1059,1291,1869,4416,4364,6206,6356,7932,6042,8365
E07000065,4693,3547,5559,6998,8715,10993,11918,10859,9886,11128,8637,11307,2970,1638,1878,2513,3461,7045,7000,9638,9547,10929,8507,11026
E07000066,8537,7785,9721,10122,10644,12183,11721,10051,8076,8597,6005,8253,3159,2266,2684,3156,4110,6815,7041,7779,7522,8265,5827,7956
E07000067,4552,4172,6713,7895,9196,10957,10329,8808,7978,8619,6135,7618,2836,1622,1835,2461,3277,6273,5595,6427,7646,8424,6020,7451
E07000068,2403,3188,3758,4199,4535,5265,5416,4355,3641,3868,2894,4656,1064,650,743,972,1201,2050,2833,3404,3367,3768,2841,4568
E07000069,3394,2934,3894,4199,4846,6075,6164,5530,5112,6278,4779,5885,1644,933,1090,1402,1934,3727,3746,4226,4765,6113,4637,5731
E07000070,5972,6289,8972,10287,11151,12133,11562,9807,8514,9382,6858,9467,3507,2171,2433,2841,4177,7279,6908,7232,8024,9206,6760,9323
E07000071,7175,5351,8863,10623,11055,12122,11482,9572,8326,9443,6818,8793,4579,2766,3103,3504,4192,7670,6535,7359,8003,9205,6652,8460
E07000072,3832,3246,5220,6760,7291,9021,9129,7669,6417,6771,5030,7106,1953,1154,1427,1699,2276,4681,4870,5935,5986,6573,4933,6769
E07000073,2794,2728,4331,4981,4744,5424,5431,4655,3793,3292,2349,3593,1641,1281,1430,1545,1758,2608,3031,3584,3567,3211,2304,3505
E07000074,1752,1371,2336,2918,3753,4994,5049,4660,4108,4575,3385,4129,1128,594,680,791,1248,2870,2883,3705,3970,4485,3335,4063
E07000075,3752,2908,3853,4470,5158,6310,6153,5319,4630,5430,4061,5434,1652,934,1016,1433,1885,3224,3982,4089,4407,5314,4005,5333
E07000076,4936,3764,4929,5899,7199,9477,10514,10294,10017,11785,9040,11758,3174,1791,1964,2342,2951,6514,7335,9099,9658,11487,8822,11439
E07000077,2998,2643,4302,5236,5713,6685,6515,5606,4689,4887,3634,4826,1675,921,1116,1365,1894,3865,3652,4498,4392,4806,3561,4657
E07000078,4072,3757,6104,6498,6702,7427,7726,6481,5492,5690,4397,6830,2749,1496,1705,1810,2187,5145,6169,5829,5343,5574,4333,6707
E07000079,2407,1940,3760,4490,5450,6506,7114,6350,5858,6158,4756,6377,1327,718,917,1867,2425,4220,4800,5171,5710,6049,4658,6147
E07000080,2374,2299,3012,3252,4219,5638,6223,5565,5084,5329,3950,4826,1503,849,829,978,1478,2940,3310,3932,4823,5223,3878,4641
E07000081,4826,4038,6282,6791,7209,8469,8439,7160,5711,5591,4374,5754,3287,2220,2416,2945,3852,5862,6382,6236,5455,5459,4293,5620
E07000082,3216,2452,4984,6223,7525,8868,8911,8203,7165,7569,5469,7302,2029,1109,1311,1748,3001,4679,6036,6967,6960,7459,5404,7206
E07000083,3001,3692,4816,5279,5564,6423,6772,5833,5386,5583,4295,5710,1887,1295,1281,1507,1837,3814,4729,5174,5293,5496,4220,5606
E07000084,5396,5231,9941,10788,11598,12828,12348,9978,8219,8742,6216,7865,3163,2061,2248,2905,3552,4797,5470,8565,7991,8580,6107,7723
E07000085,3869,3685,5178,6596,7721,9082,9465,8477,7090,7574,5759,7900,2248,1293,1451,1776,2533,4688,5348,7425,6893,7456,5670,7712
E07000086,5022,4255,6528,7841,7979,8957,8955,7830,6796,6922,5052,7203,2748,1826,2023,2312,2649,4315,5038,6405,6465,6737,4946,7031
E07000087,4654,3709,4897,5944,6716,8014,8633,7645,6426,7210,5659,7958,2160,1414,1493,2248,3171,5346,5568,6711,6192,7074,5552,7827
E07000088,3066,2639,3609,3871,4369,5402,5668,5162,4403,4722,3376,4603,1861,1170,1363,1434,1850,3790,3980,4412,4255,4642,3329,4542
E07000089,4837,3906,5203,6129,6996,7146,7002,5597,4605,5146,4055,5446,1832,1116,1394,1735,2763,4997,4299,4849,4484,5082,4003,5381
E07000090,4578,3585,4812,5693,6524,8393,8966,8417,7242,7726,5918,8468,2606,1662,1696,2736,3514,5157,5423,7468,7017,7574,5813,8110
E07000091,6747,5088,6783,7960,9476,12001,13484,12429,11847,13254,10233,15066,3434,1994,2156,3099,4672,8027,8263,10344,11373,13052,10096,14557
E07000092,4526,5385,5996,5916,5965,6539,6359,4838,3940,4085,2979,3674,2322,1625,1664,1681,2002,3785,3930,3835,3761,3984,2897,3603
E07000093,3780,3569,6135,7081,8029,9115,9240,7890,6652,7383,5549,7270,2251,1541,1617,1864,2371,4521,5286,6667,6352,7257,5459,6943
E07000094,5425,4486,5957,7151,7785,8498,8633,7450,6350,6767,5222,7600,2785,1384,1690,2128,2654,3970,5002,6360,6134,6645,5152,7473
E07000095,2784,2760,4074,5036,5473,6495,6260,5188,4144,4361,3340,4887,1550,912,1186,1470,1901,3887,3923,4366,3934,4279,3277,4776
E07000096,4446,4084,7922,9294,9568,10153,10180,8713,7073,6835,4926,7338,2854,1983,2392,2750,3239,6171,6273,7017,6798,6684,4826,7058
E07000098,4369,2939,5237,6342,6575,6899,7015,5718,4675,4815,3614,5512,2424,1412,2036,2528,2953,4986,5146,5201,4501,4713,3555,5371
E07000099,3902,3708,6530,8144,8648,9000,9028,7493,6337,6591,4897,7376,2524,1556,1875,2286,2800,5947,5320,6435,6029,6480,4821,7208
E07000102,3273,2920,4696,5981,6365,6648,6510,5201,4235,4356,3202,4733,1819,1054,1438,1875,2223,3889,4279,4593,4105,4273,3139,4637
E07000103,3932,4320,5962,6660,6275,6141,5404,4317,3384,3115,2347,3441,2242,1560,1871,2185,2513,4015,3461,3630,3202,3026,2289,3245
E07000105,4196,3621,5217,6708,7512,9264,8756,7251,6428,7091,5298,6477,2590,1600,1702,2032,2517,3868,4487,5879,5846,6926,5198,6316
E07000106,6096,4089,6073,7017,7949,9366,9699,8840,8328,9165,6743,9065,3683,1766,1942,2300,3148,5437,5992,7229,8006,9011,6656,8896
E07000107,3679,3581,5900,6631,6517,6898,6518,5293,4145,4100,2881,4332,2154,1440,1927,2181,2432,3986,3821,4632,3892,3982,2820,4188
E07000108,3992,3320,4517,5132,5842,7395,8224,7596,7100,7352,5493,6819,2518,1580,1704,1948,2591,4619,5090,6630,6794,7156,5339,6589
E07000109,3368,2729,4145,5382,5772,6798,6707,5473,4664,4726,3506,4949,2230,1369,1636,1924,2269,4114,4561,4966,4477,4622,3424,4781
E07000110,5197,4632,7122,8967,9977,11540,11136,9507,8244,9011,6512,8706,3100,2087,2249,2690,3407,5875,6771,7727,7810,8770,6371,8336
E07000111,2950,2626,4639,6587,7325,8278,8250,7077,6197,6744,5100,7198,1787,1116,1368,1722,2096,4474,4761,6178,5979,6578,5009,6935
E07000112,3509,2852,4225,5244,5867,7333,7891,7151,6610,7516,5420,6933,2373,1398,1571,2174,2994,4801,5029,6401,6341,7354,5301,6733
E07000113,4612,3397,5916,7515,8105,9807,10160,8597,7406,8127,5680,6765,2864,1783,2005,2219,2692,4571,5468,6065,6886,7922,5571,6504
E07000114,5660,5236,6127,6521,7246,8675,9228,8550,8103,8976,6614,8355,3221,2008,2189,2397,3417,5675,5851,7405,7557,8779,6474,8180
E07000115,3600,3047,5310,7444,8494,9206,9042,7419,6104,6695,5052,6801,2079,1241,1569,1892,2384,4164,4827,6314,5801,6577,4979,6673
E07000116,2919,2586,4789,6534,7519,8299,7731,6479,5295,5782,4420,6337,1821,1106,1347,1607,2144,3494,4207,5825,5108,5659,4349,6208
E07000117,3785,2896,3702,4093,4548,5442,5690,5099,4390,4606,3145,3741,1426,1055,1230,1246,1579,2736,3022,3812,4039,4495,3083,3637
E07000118,4793,3962,5648,6251,7018,8299,8128,7015,6183,6731,4801,5595,2613,1733,2192,2307,2900,5499,5670,6186,5948,6618,4734,5446
E07000119,3449,2508,3245,3551,4242,5601,6259,5958,5292,5838,4574,6203,1676,1048,1272,1389,2015,3982,4148,5225,5113,5751,4517,6067
E07000120,3718,2399,3051,3470,4083,5135,5062,4477,3827,4044,2908,3481,1293,869,947,1108,1468,2286,2552,3694,3605,3938,2839,3364
E07000121,10264,5247,6307,6592,7164,8895,9422,8528,7562,7817,5641,7638,4514,2338,2658,2834,3391,6759,6666,7639,7258,7669,5576,7521
E07000122,3584,2701,3953,4089,4514,5459,5551,5144,4493,4714,3164,3993,1313,846,1158,1204,1478,2989,2928,3833,4114,4541,3076,3697
E07000123,11546,6244,6972,7381,7773,8599,8551,7275,5841,5512,3890,5615,4340,2220,2457,2882,3507,4964,5196,6176,5470,5331,3777,5361
E07000124,2995,1838,2400,2843,3544,4676,4900,4430,3708,3961,2957,3843,1068,620,843,932,1294,2275,2609,3794,3619,3912,2930,3726
E07000125,2826,2169,2866,3402,3932,4919,4888,4171,3663,3779,2519,2966,1193,801,982,1204,1555,2431,2662,3223,3383,3702,2467,2900
E07000126,5102,4054,5030,5676,6667,7819,8100,6817,6166,6586,4632,5977,2520,1636,1826,2266,3321,4925,5267,6104,5892,6472,4575,5793
E07000127,5892,3562,4516,4997,6180,7796,8393,7323,6394,6873,5132,6478,2948,1469,1750,2285,3089,4908,5484,6465,6160,6732,5058,6164
E07000128,5509,3405,4142,4640,5610,7367,8284,7958,7417,8186,6145,8293,2611,1686,1986,2206,2914,5576,6187,7366,7148,8040,6049,8047
E07000129,5113,4153,4997,5435,5906,6924,6855,6106,5185,5625,4162,5513,2389,1570,1784,2099,2906,4487,4846,5521,5055,5560,4107,5428
E07000130,7723,5664,8509,9001,9791,11487,11191,10096,9034,9110,6747,8736,3601,2130,2624,2880,3670,4989,6009,8325,8399,8927,6618,8379
E07000131,3142,2237,3898,5025,6024,7160,7114,6094,5347,5694,4277,5425,1747,1029,1355,1658,2433,4174,5165,5517,5153,5599,4191,5262
E07000132,4109,3006,4938,5725,6562,8015,7881,7073,6481,7018,5107,6224,2525,1523,1790,1939,2506,3798,4769,5923,6249,6890,5036,6096
E07000133,1578,1233,1853,2363,2850,3859,4119,3495,3178,3370,2410,2962,966,511,589,747,986,1893,2607,2883,3091,3326,2385,2760
E07000134,3499,3005,4836,5396,6455,7553,7245,6200,5544,5915,4268,4809,1840,1127,1327,1490,2356,3232,4128,5163,5361,5797,4189,4711
E07000135,3327,2050,2643,2989,3116,3606,3715,3381,2840,2974,2329,3744,1520,798,1013,1232,1511,1771,2334,2930,2740,2902,2269,3438
E07000136,2256,1921,2642,2936,3536,4137,4383,4000,3605,3714,2799,3777,1523,853,1010,1086,1481,2808,2574,3538,3464,3650,2753,3714
E07000137,4204,4222,5001,5619,7060,9538,11107,11097,10863,11966,8993,10392,2352,1459,1623,1961,3006,5674,6928,9138,10119,11648,8740,10089
E07000138,4860,3334,3954,4421,4691,5350,5577,4682,3967,3891,2755,3967,3267,1494,1449,1528,1837,3751,3941,4021,3823,3780,2701,3889
E07000139,4375,4322,5511,5843,6892,8339,8712,7413,6515,7428,5729,7218,2645,1475,1635,1627,2301,4926,5585,6573,6319,7311,5652,7122
E07000140,2738,2346,3368,4149,5105,6184,6616,5783,5426,6071,4453,6084,1405,788,854,978,1499,2246,3198,4676,5208,5953,4376,5970
E07000141,4732,4373,6283,7312,8712,10157,10462,9337,8327,8948,6745,8333,2539,1425,1599,2016,2678,4103,5974,7873,8025,8804,6640,8169
E07000142,3156,3107,3940,4307,5190,6702,7247,6694,6153,6557,4958,5730,1911,1172,1344,1410,2046,4376,5017,5860,5988,6472,4905,5644
E07000143,4632,4135,5084,6363,7480,9336,9978,8869,8452,9450,7073,9200,2817,1585,1637,1996,2827,5616,6098,7586,8075,9190,6906,9053
E07000144,4427,3856,5598,6704,7908,9459,9545,8515,7981,9059,6782,9500,2899,1667,1869,2442,3152,6144,5704,7311,7700,8927,6710,9374
E07000145,4840,3635,4097,4447,5226,6583,6915,6420,5974,6476,4869,5985,2511,1385,1436,1572,2020,3710,4304,4937,5593,6310,4786,5861
E07000146,5332,4162,5654,6554,7942,9848,10787,9947,9423,10423,8040,10590,3131,1944,2006,2260,3062,5765,6550,8799,9038,10254,7910,10411
E07000147,3041,2495,3194,3768,4956,6618,7645,8179,8047,9248,6880,9396,1825,1055,1192,1390,2033,3979,4586,6631,7683,9102,6783,9263
E07000148,8487,5138,7323,7416,7285,7614,7224,6153,5623,5500,3977,5738,5847,2377,2371,2715,3079,4493,3994,4967,5287,5388,3921,5658
E07000149,4752,3973,6377,7256,8441,9644,10025,8996,8232,9270,7012,9250,3231,1948,2272,2532,3160,6078,5575,7822,7831,9169,6934,9148
E07000150,2034,1678,2927,3506,3609,4394,4549,3888,3110,2704,1959,2327,1122,750,869,900,1028,2026,2294,2878,2908,2631,1914,2266
E07000151,2730,2284,3531,4560,5291,6503,6606,5460,4783,5049,3573,4183,1616,979,1081,1388,2019,3629,4272,4881,4651,4977,3535,4124
E07000152,2806,2971,3732,4631,5618,6816,6683,5575,5070,5564,3887,4721,1471,902,1024,1314,1876,3562,3797,4754,4799,5430,3835,4593
E07000153,3659,3271,4930,5628,6245,7061,6585,5446,4933,5247,3849,4625,2209,1365,1561,1799,2204,4185,3924,4593,4531,5098,3762,4495
E07000154,7876,6389,10001,12290,12899,13778,13214,10979,9280,9428,6503,8709,4313,2673,3135,3695,5002,8856,7679,9282,8747,9185,6358,8474
E07000155,2576,2211,4017,5464,6358,7382,7258,6157,5085,5594,3977,4631,1440,868,978,1284,1869,3655,4027,5233,4794,5526,3919,4540
E07000156,2147,2451,3597,4123,4607,5488,5191,4438,4090,4269,3078,3640,1149,784,961,1179,1478,3092,3110,3745,3836,4179,3014,3510
E07000163,2528,1640,2189,2655,3145,4225,4476,4353,4002,4100,3117,4050,1144,602,690,902,1219,2275,2861,3606,3779,4021,3069,3962
E07000164,2730,1852,2964,4135,4821,6558,7466,6702,6121,6587,4848,6518,1519,862,994,1201,1823,3832,5462,5747,5917,6500,4802,6424
