LTLA Code,D*.0-50,D*.50-55,D*.55-60,D*.60-65,D*.65-70,D*.70-75,D*.75-80,D*.80-150
E07000112,13870,7159,7640,7027,6543,7470,5370,6962
E07000113,16469,9503,9856,8463,7368,8094,5682,6815
E07000114,16779,8398,9007,8321,7986,8918,6568,8389
E07000115,14629,9040,8758,7340,6054,6666,5042,6839
E07000116,11685,8142,7531,6415,5238,5740,4401,6390
E07000117,9246,5152,5518,5004,4317,4581,3151,3777
E07000118,15137,8098,7943,6919,6133,6714,4804,5639
E07000119,10635,5495,6125,5901,5257,5828,4567,6239
E07000120,8751,4944,4947,4404,3775,4022,2904,3496
E07000121,22067,8700,9159,8450,7510,7785,5645,7713
E07000122,8501,5178,5380,4986,4410,4704,3152,4023
E07000123,25478,8326,8298,7123,5798,5476,3889,5658
E07000124,6704,4579,4753,4368,3700,3960,2970,3882
E07000125,8277,4785,4791,4109,3636,3785,2518,3007
E07000126,16525,7658,7848,6739,6116,6577,4642,6006
E07000127,15819,7582,8217,7251,6352,6867,5149,6544
E07000128,16178,7236,8128,7847,7345,8160,6150,8370
E07000129,16281,6770,6647,6004,5157,5601,4166,5559
E07000130,25996,11206,10880,9992,8975,9066,6741,8794
E07000131,11880,7017,6935,5946,5306,5679,4285,5476
E07000132,14339,7836,7688,6984,6454,7004,5100,6293
E07000133,6367,3801,4064,3465,3170,3365,2413,3002
E07000134,13080,7345,7049,6118,5507,5889,4260,4854
E07000135,9195,3460,3562,3319,2808,2958,2325,3784
E07000136,8135,3928,4255,3876,3560,3699,2789,3818
E07000137,17414,9286,10771,10836,10719,11902,8973,10444
E07000138,13226,5206,5485,4603,3955,3879,2763,3986
E07000139,16966,8195,8574,7293,6461,7410,5737,7307
E07000140,11397,6010,6463,5653,5391,6054,4458,6133
E07000141,20753,9984,10335,9207,8270,8896,6737,8376
E07000142,12354,6569,7129,6589,6120,6541,4960,5791
E07000143,14430,9067,9798,8760,8394,9430,7078,9262
E07000144,15160,9292,9352,8364,7906,9036,6786,9607
E07000145,13167,6319,6733,6266,5909,6437,4874,6020
E07000146,16705,9542,10522,9774,9312,10392,8041,10716
E07000147,9465,6454,7516,8010,7972,9202,6876,9460
E07000148,21611,7422,7072,6011,5592,5489,3990,5802
E07000149,16614,9528,9912,8888,8167,9261,7009,9318
E07000150,7637,4248,4435,3792,3094,2715,1962,2364
E07000151,10160,6341,6469,5358,4764,5035,3574,4234
E07000152,8982,6643,6564,5465,5043,5525,3884,4750
E07000153,12399,6850,6475,5328,4895,5220,3842,4656
E07000154,29074,13293,12891,10748,9183,9384,6510,8761
E07000155,10029,7255,7159,6031,5064,5574,3978,4674
E07000156,8190,5267,5081,4342,4050,4257,3075,3650
E07000163,6743,4132,4388,4271,3972,4080,3122,4070
E07000164,10370,6424,7358,6601,6065,6570,4856,6579
E07000165,22434,11809,12235,10732,9221,10012,7296,10688
E07000166,4487,3282,3543,3448,3042,3176,2237,2899
E07000167,6226,3797,4342,3977,3808,4010,2978,3984
E07000168,14888,6964,8155,7922,7462,8017,5782,7654
E07000169,9271,6506,6828,5999,5086,5331,3659,4373
E07000170,18535,8581,8581,7189,6358,6465,5163,6070
E07000171,17562,8208,8629,7450,6589,7098,5247,6428
E07000172,14497,7292,7367,6531,5862,6614,4820,6415
E07000173,16395,8036,8096,6983,6373,6747,4820,6701
E07000174,16185,7063,7494,6589,5709,5557,4222,5140
E07000175,15426,8381,8730,7757,6940,7493,5544,6892
E07000176,16897,8152,8072,6983,6244,6717,5034,7012
E07000177,18522,10571,10510,8631,7294,7410,5295,7421
E07000178,21867,7637,7340,6019,4849,4627,3424,5061
E07000179,14454,10617,10311,8623,7323,7706,6237,8553
E07000180,13187,9029,9112,7990,6758,7132,5361,7678
E07000181,11502,7764,8043,6901,5969,6324,4923,6907
E07000187,11550,8049,8182,7383,6851,7336,5342,7223
E07000188,12284,8486,8962,7839,7326,8029,5929,7773
E07000189,19414,11253,11998,11078,10576,11790,8781,11531
E07000192,15741,7236,7069,5854,5133,5217,3947,4725
E07000193,16719,7995,7963,7154,5915,6045,4599,5904
E07000194,13094,7492,7369,6314,5917,6737,5670,6396
E07000195,17242,8274,8214,7597,6631,7147,5241,7138
E07000196,15845,7845,8264,7586,6667,7161,5887,7405
E07000197,20045,9463,9278,8464,7619,8133,6538,8223
E07000198,11638,7180,7128,6495,6107,6844,5150,6369
E07000199,9326,5343,4833,4409,4179,4119,2951,3281
E07000200,9796,6439,6635,5978,5707,6585,5034,6454
E07000202,19742,8087,7819,6846,5908,5692,4070,6288
E07000203,12026,7116,7694,7022,6518,7085,5150,6614
E07000207,13127,9855,9088,7279,5997,6121,4620,7367
E07000208,9001,5356,5054,4078,3473,3834,2823,4060
E07000209,15710,9036,9020,7440,6257,6465,4748,7136
E07000210,8163,6337,6478,5642,4971,5003,4070,6111
E07000211,17745,9675,9545,7925,6498,6871,4968,7574
E07000212,8754,5345,5411,4456,3643,3718,2895,4472
E07000213,10434,6597,6838,5372,4377,4524,3565,5477
E07000214,10286,6471,6368,5261,4313,4476,3517,5138
E07000215,9441,6116,6115,5220,4480,4611,3593,5163
E07000216,14940,9076,8598,7432,6375,6915,5602,8565
E07000217,10992,6529,6250,5188,4320,4312,3153,4864
E07000218,8491,4736,4717,4231,3657,3878,2910,3523
E07000219,16769,8436,8324,7234,6532,6740,5145,6169
E07000220,11013,7153,7042,5846,4905,5248,4374,5599
E07000221,13544,9644,10043,8988,8040,8762,7102,9239
E07000222,19272,9277,8944,7599,6794,7039,5592,7774
E07000223,7314,4266,4218,3726,3417,3937,3008,4374
E07000224,15281,10078,10769,10192,10130,12168,9446,13421
E07000225,13035,7732,8700,8396,7711,8498,6801,9680
E07000226,16743,6771,6479,5601,4380,4022,2572,4058
E07000227,14848,10222,10686,9311,8053,8692,6594,9334
E07000228,15574,10408,9975,8366,7527,7937,6255,8792
E07000229,13649,7364,7331,6232,5506,6334,4710,7412
E07000234,14111,6968,6949,6006,5521,5657,4552,6382
E07000235,8467,5462,6072,5719,5246,5838,4397,6126
E07000236,13013,5172,5071,4733,4618,4576,3074,3386
E07000237,13902,6680,6535,5384,4783,4712,3463,4673
E07000238,15025,9241,9766,8675,8204,8783,6614,8624
E07000239,10974,6974,6948,6047,6060,7034,5525,6399
E07000240,14903,10562,9537,7596,6231,6386,4778,7452
E07000241,13491,6749,6896,5933,4672,4506,3420,5532
E07000242,16669,10714,10487,8547,6956,7337,5123,7424
E07000243,12543,5618,5767,4688,3550,3355,2450,3707
E07000244,27906,16470,17731,17045,16015,18249,13798,18699
E07000245,18465,11111,11116,9609,8741,9862,7537,10107
E07000246,19445,10108,10820,10171,9701,10284,7999,11250
E08000001,33287,17411,17235,14801,13025,13590,9752,12132
E08000002,23954,11693,12077,10389,8925,9605,6803,8715
E08000003,72762,25062,22754,19093,15004,12946,8641,11718
E08000004,31476,13535,13180,11417,10142,10204,7334,9134
E08000005,28307,12781,12756,11336,10172,9856,6690,8308
E08000006,31496,12951,13314,11473,8991,9485,6660,9066
E08000007,35330,18720,19086,16638,14744,15227,11261,16353
E08000008,28745,14537,14790,12549,10317,10992,7658,9181
E08000009,31400,14916,14749,12344,10375,10394,7725,11505
E08000010,39514,22193,21216,18325,16011,17653,13132,14442
E08000011,21078,9379,10666,9835,7802,6649,4287,6440
E08000012,68372,24778,27581,25453,21016,19082,12648,17793
E08000013,28254,12135,12413,10875,9513,10148,7335,9211
E08000014,34463,17603,19727,18357,15939,15767,11920,18094
E08000015,42563,20342,21962,20193,18114,18426,13001,18438
E08000016,29610,16685,16560,14675,12783,12735,9380,11326
E08000017,46752,19398,20469,18537,15971,15974,11345,15215
E08000018,43000,17638,17306,15612,13572,13825,10390,12930
E08000019,75691,32479,31610,27664,23624,23869,18370,25688
E08000021,35954,14086,15363,14283,11884,11381,7588,11741
E08000022,25253,12934,13969,12761,11657,11455,7686,10855
E08000023,17271,9342,10331,9816,8418,8148,5446,7895
E08000024,33676,17913,18870,17944,15535,15123,10092,14173
E08000025,149285,55057,52169,45977,38517,35123,26473,39120
E08000026,49670,18445,17486,15257,12721,12179,9692,13727
E08000027,41342,20902,20270,17320,15963,16462,13463,17767
E08000028,43143,19246,18051,15393,12875,11971,9228,12614
E08000029,29033,14261,14387,12417,10514,11710,9209,12784
E08000030,39072,17025,16505,14433,12274,12089,9618,13809
E08000031,34882,15212,14432,12731,11141,10358,7891,11950
E08000032,69064,28701,28507,26126,22368,21184,13757,20942
E08000033,27103,14345,13942,12256,10334,10724,7463,9310
E08000034,47554,27053,25891,22803,19804,20498,14453,18695
E08000035,105686,44597,44049,38041,32028,33208,23247,33657
E08000036,45432,23861,23318,20248,17751,17943,12938,15934
E08000037,23821,12419,13281,11924,10240,10469,7256,10805
E09000001,850,476,453,370,328,304,203,243
E09000002,24794,10668,9346,7315,5271,4311,2960,4604
E09000003,55760,20811,19569,16970,14031,13309,9767,14745
E09000004,28385,14830,14891,12575,10074,10081,7496,11505
E09000005,47271,16767,15700,13644,10705,8564,6223,9151
E09000006,35858,21029,20359,16989,13744,14804,10870,16552
E09000007,28815,10937,9736,8133,6463,6065,4534,5894
E09000008,41526,20545,20696,17208,13624,12664,8916,13020
E09000009,42000,19760,18145,15199,12211,10489,7345,10617
E09000010,54455,17990,17674,14758,11462,10174,7474,11540
E09000011,36875,14689,13360,10753,8374,7440,5211,6745
E09000012,29470,11458,10468,8233,6159,4765,3045,4027
E09000013,23127,9523,8368,6226,4925,4504,3155,4233
E09000014,31768,14090,12940,9980,7614,6378,4335,5943
E09000015,38401,13386,13302,12431,10621,9267,6986,10730
E09000016,29637,15010,15335,13683,11073,11607,8380,12803
E09000017,40379,17219,16502,13823,10967,9901,7134,11137
E09000018,34491,15566,14118,11955,9631,8283,5687,7747
E09000019,26474,10379,9763,7623,5740,5020,3371,4392
E09000020,15788,7810,7648,6057,4931,4710,3604,4712
E09000021,19334,10344,9279,7631,6376,6308,4377,6149
E09000022,43071,15750,14521,11021,7772,6127,4075,5921
E09000023,33472,14905,14091,11074,7716,6260,4509,6629
E09000024,25224,12047,10862,9119,7250,6525,4463,6853
E09000025,45717,15274,13050,10714,7904,5624,3555,4998
E09000026,38463,15282,14369,12591,10291,8982,6239,9646
E09000027,19744,13385,12236,9592,7943,8354,5944,7827
E09000028,37488,15960,14687,11325,7474,5971,3922,5520
E09000029,25808,12700,12283,9722,8056,7993,5668,8463
E09000030,41444,11341,9163,7440,5425,3966,2571,3945
E09000031,30803,13653,12442,10186,7677,6471,4630,6561
E09000032,45000,15490,13528,10659,8137,7708,5224,7443
E09000033,25902,10439,9775,7910,6071,5459,4210,5627
