Region,week,n_Total classifiable,n_Cases with confirmed SGTF,n_Cases with confirmed S-gene,percent_SGTF
North West,27/01/2021,14607,13418,1189,91.9
North West,03/02/2021,11326,10812,514,95.5
North West,10/02/2021,8878,8656,222,97.5
North West,17/02/2021,7144,7030,114,98.4
North West,24/02/2021,4532,4480,52,98.9
North West,03/03/2021,3085,3053,32,99
South East,02/09/2020,646,25,621,3.9
South East,09/09/2020,410,15,395,3.7
South East,16/09/2020,458,20,438,4.4
South East,23/09/2020,996,51,945,5.1
South East,30/09/2020,2040,111,1929,5.4
South East,07/10/2020,2314,96,2218,4.1
South East,14/10/2020,3263,200,3063,6.1
South East,21/10/2020,5124,470,4654,9.2
South East,28/10/2020,5980,767,5213,12.8
South East,04/11/2020,7353,1317,6036,17.9
South East,11/11/2020,8512,2151,6361,25.3
South East,18/11/2020,6245,2316,3929,37.1
South East,25/11/2020,6246,3439,2807,55.1
South East,02/12/2020,9355,6272,3083,67
South East,09/12/2020,15917,12235,3682,76.9
South East,16/12/2020,15116,12288,2828,81.3
South East,23/12/2020,20446,17771,2675,86.9
South East,30/12/2020,22734,20962,1772,92.2
South East,06/01/2021,17210,15968,1242,92.8
South East,13/01/2021,15655,14798,857,94.5
South East,20/01/2021,9873,9429,444,95.5
South East,27/01/2021,6893,6656,237,96.6
South East,03/02/2021,3535,3432,103,97.1
South East,10/02/2021,2791,2741,50,98.2
South East,17/02/2021,2367,2312,55,97.7
South East,24/02/2021,1667,1636,31,98.1
South East,03/03/2021,1008,993,15,98.5
South West,02/09/2020,320,28,292,8.8
South West,09/09/2020,238,15,223,6.3
South West,16/09/2020,356,16,340,4.5
South West,23/09/2020,685,67,618,9.8
South West,30/09/2020,1820,71,1749,3.9
South West,07/10/2020,2245,86,2159,3.8
South West,14/10/2020,669,37,632,5.5
South West,21/10/2020,1968,113,1855,5.7
South West,28/10/2020,1665,87,1578,5.2
South West,04/11/2020,2765,184,2581,6.7
South West,11/11/2020,4061,229,3832,5.6
South West,18/11/2020,1917,149,1768,7.8
South West,25/11/2020,1378,165,1213,12
South West,02/12/2020,1344,272,1072,20.2
South West,09/12/2020,1886,616,1270,32.7
South West,16/12/2020,2355,1098,1257,46.6
South West,23/12/2020,3519,2113,1406,60
South West,30/12/2020,5979,4284,1695,71.7
South West,06/01/2021,4013,3260,753,81.2
South West,13/01/2021,3616,3175,441,87.8
South West,20/01/2021,2463,2242,221,91
South West,27/01/2021,1883,1776,107,94.3
South West,03/02/2021,1588,1530,58,96.3
South West,10/02/2021,1380,1346,34,97.5
South West,17/02/2021,975,956,19,98.1
South West,24/02/2021,494,491,3,99.4
South West,03/03/2021,300,298,2,99.3
West Midlands,02/09/2020,1552,12,1540,0.8
West Midlands,09/09/2020,1122,6,1116,0.5
West Midlands,16/09/2020,2383,31,2352,1.3
West Midlands,23/09/2020,2799,30,2769,1.1
West Midlands,30/09/2020,4860,73,4787,1.5
West Midlands,07/10/2020,5066,75,4991,1.5
West Midlands,14/10/2020,6463,106,6357,1.6
West Midlands,21/10/2020,10905,133,10772,1.2
West Midlands,28/10/2020,12278,225,12053,1.8
West Midlands,04/11/2020,12757,315,12442,2.5
West Midlands,11/11/2020,11120,279,10841,2.5
West Midlands,18/11/2020,10560,303,10257,2.9
West Midlands,25/11/2020,7549,366,7183,4.8
West Midlands,02/12/2020,6823,696,6127,10.2
West Midlands,09/12/2020,8795,2057,6738,23.4
West Midlands,16/12/2020,8149,3459,4690,42.4
West Midlands,23/12/2020,14379,8777,5602,61
West Midlands,30/12/2020,24317,18227,6090,75
West Midlands,06/01/2021,26323,21808,4515,82.8
West Midlands,13/01/2021,13843,12168,1675,87.9
West Midlands,20/01/2021,8936,8182,754,91.6
West Midlands,27/01/2021,7104,6711,393,94.5
West Midlands,03/02/2021,3344,3211,133,96
West Midlands,10/02/2021,2280,2226,54,97.6
West Midlands,17/02/2021,2550,2506,44,98.3
West Midlands,24/02/2021,1416,1382,34,97.6
West Midlands,03/03/2021,972,953,19,98
Yorkshire and Humber,02/09/2020,1457,7,1450,0.5
Yorkshire and Humber,09/09/2020,1385,7,1378,0.5
Yorkshire and Humber,16/09/2020,2242,25,2217,1.1
Yorkshire and Humber,23/09/2020,4501,59,4442,1.3
Yorkshire and Humber,30/09/2020,11357,214,11143,1.9
Yorkshire and Humber,07/10/2020,10853,235,10618,2.2
Yorkshire and Humber,14/10/2020,13415,339,13076,2.5
Yorkshire and Humber,21/10/2020,16754,329,16425,2
Yorkshire and Humber,28/10/2020,19212,398,18814,2.1
Yorkshire and Humber,04/11/2020,19465,413,19052,2.1
Yorkshire and Humber,11/11/2020,16271,366,15905,2.2
Yorkshire and Humber,18/11/2020,8970,227,8743,2.5
Yorkshire and Humber,25/11/2020,6117,172,5945,2.8
Yorkshire and Humber,02/12/2020,4290,159,4131,3.7
Yorkshire and Humber,09/12/2020,4757,385,4372,8.1
Yorkshire and Humber,16/12/2020,5161,1061,4100,20.6
Yorkshire and Humber,23/12/2020,7121,2848,4273,40
Yorkshire and Humber,30/12/2020,11327,6035,5292,53.3
Yorkshire and Humber,06/01/2021,9652,6202,3450,64.3
Yorkshire and Humber,13/01/2021,8265,6096,2169,73.8
Yorkshire and Humber,20/01/2021,8407,6894,1513,82
Yorkshire and Humber,27/01/2021,7436,6604,832,88.8
Yorkshire and Humber,03/02/2021,7361,6861,500,93.2
Yorkshire and Humber,10/02/2021,6274,6035,239,96.2
Yorkshire and Humber,17/02/2021,6174,6041,133,97.8
Yorkshire and Humber,24/02/2021,4723,4669,54,98.9
Yorkshire and Humber,03/03/2021,3435,3405,30,99.1
