Region,week,n_Confirmed S-gene,n_Confirmed SGTF,percent_Confirmed S-gene,percent_Confirmed SGTF,n_Total
South East,19/10/2020,4437,343,92.8,7.2,4780
South East,26/10/2020,4913,674,87.9,12.1,5587
South East,02/11/2020,6163,1140,84.4,15.6,7303
South East,09/11/2020,6484,1962,76.8,23.2,8446
South East,16/11/2020,4825,2214,68.5,31.5,7039
South East,23/11/2020,2892,2999,49.1,50.9,5891
South East,30/11/2020,2907,4912,37.2,62.8,7819
South East,07/12/2020,3458,9949,25.8,74.2,13407
South East,14/12/2020,3523,14055,20.0,80.0,17578
South East,21/12/2020,2487,15456,13.9,86.1,17943
South East,28/12/2020,1988,20033,9.0,91.0,22021
South East,04/01/2021,1430,17604,7.5,92.5,19034
South East,11/01/2021,926,14893,5.9,94.1,15819
South East,18/01/2021,532,9981,5.1,94.9,10513
South West,07/09/2020,236,17,93.3,6.7,253
South West,14/09/2020,260,18,93.5,6.5,278
South West,21/09/2020,509,25,95.3,4.7,534
South West,28/09/2020,1318,91,93.5,6.5,1409
South West,05/10/2020,2187,83,96.3,3.7,2270
South West,12/10/2020,988,47,95.5,4.5,1035
South West,19/10/2020,1401,72,95.1,4.9,1473
South West,26/10/2020,1647,114,93.5,6.5,1761
South West,02/11/2020,2156,137,94.0,6.0,2293
South West,09/11/2020,3801,235,94.2,5.8,4036
South West,16/11/2020,2425,175,93.3,6.7,2600
South West,23/11/2020,1341,158,89.5,10.5,1499
South West,30/11/2020,1057,191,84.7,15.3,1248
South West,07/12/2020,1219,477,71.9,28.1,1696
South West,14/12/2020,1328,1049,55.9,44.1,2377
South West,21/12/2020,1350,1590,45.9,54.1,2940
South West,28/12/2020,1550,3477,30.8,69.2,5027
South West,04/01/2021,1049,3621,22.5,77.5,4670
South West,11/01/2021,537,3386,13.7,86.3,3923
South West,18/01/2021,243,2184,10.0,90.0,2427
West Midlands,07/09/2020,1211,7,99.4,0.6,1218
West Midlands,14/09/2020,1923,12,99.4,0.6,1935
West Midlands,21/09/2020,2510,41,98.4,1.6,2551
West Midlands,28/09/2020,4124,56,98.7,1.3,4180
West Midlands,05/10/2020,4429,70,98.4,1.6,4499
West Midlands,12/10/2020,5266,79,98.5,1.5,5345
West Midlands,19/10/2020,10372,142,98.6,1.4,10514
West Midlands,26/10/2020,10921,173,98.4,1.6,11094
West Midlands,02/11/2020,13871,311,97.8,2.2,14182
West Midlands,09/11/2020,10626,293,97.3,2.7,10919
West Midlands,16/11/2020,11036,293,97.4,2.6,11329
West Midlands,23/11/2020,7975,312,96.2,3.8,8287
West Midlands,30/11/2020,6234,549,91.9,8.1,6783
West Midlands,07/12/2020,6307,1432,81.5,18.5,7739
West Midlands,14/12/2020,4952,2400,67.4,32.6,7352
West Midlands,21/12/2020,5709,6767,45.8,54.2,12476
West Midlands,28/12/2020,6290,15762,28.5,71.5,22052
West Midlands,04/01/2021,4942,20991,19.1,80.9,25933
West Midlands,11/01/2021,2572,15877,13.9,86.1,18449
West Midlands,18/01/2021,926,8202,10.1,89.9,9128
Yorkshire and Humber,07/09/2020,1416,7,99.5,0.5,1423
Yorkshire and Humber,14/09/2020,1839,17,99.1,0.9,1856
Yorkshire and Humber,21/09/2020,3112,37,98.8,1.2,3149
Yorkshire and Humber,28/09/2020,9683,168,98.3,1.7,9851
Yorkshire and Humber,05/10/2020,10044,214,97.9,2.1,10258
Yorkshire and Humber,12/10/2020,11470,280,97.6,2.4,11750
Yorkshire and Humber,19/10/2020,16296,348,97.9,2.1,16644
Yorkshire and Humber,26/10/2020,18255,398,97.9,2.1,18653
Yorkshire and Humber,02/11/2020,19238,408,97.9,2.1,19646
Yorkshire and Humber,09/11/2020,17540,389,97.8,2.2,17929
Yorkshire and Humber,16/11/2020,10958,266,97.6,2.4,11224
Yorkshire and Humber,23/11/2020,6383,185,97.2,2.8,6568
Yorkshire and Humber,30/11/2020,4639,160,96.7,3.3,4799
Yorkshire and Humber,07/12/2020,4223,252,94.4,5.6,4475
Yorkshire and Humber,14/12/2020,3651,686,84.2,15.8,4337
Yorkshire and Humber,21/12/2020,4499,2127,67.9,32.1,6626
Yorkshire and Humber,28/12/2020,5392,5056,51.6,48.4,10448
Yorkshire and Humber,04/01/2021,3968,6220,38.9,61.1,10188
Yorkshire and Humber,11/01/2021,2480,6047,29.1,70.9,8527
Yorkshire and Humber,18/01/2021,1576,5805,21.4,78.6,7381
